CS_null_raster,CS_forest_motorways_k10,CS_barriers_k10,CS_barriers_k100
0.8628821951,0.2164449197,0.9003674458,1.108877066
0.8717160368,0.110969125,0.8786543822,0.9010147947
0.8257030931,0.09950033573,0.8306379247,0.845777439
0.8265878191,0.1968046883,0.8786905672,1.117223547
0.7137045827,0.07688853296,0.719148136,0.7291553035
0.7328912959,0.3757277818,0.7440671832,0.7626549274
0.8414230267,0.2054151677,0.8938766191,1.186441874
0.8658896976,0.4548197953,0.9231381206,1.162591339
0.8764286157,0.2138791322,0.9222532707,1.003033162
0.4838306743,0.0449703759,0.4839002845,0.4840577309
0.4069662619,0.03720792323,0.4069893182,0.4070456565
0.4399325413,0.04030307034,0.4399702389,0.4400601081
0.4933089986,0.04537386132,0.4934099963,0.4936282093
0.8739138932,0.1446605013,0.9551532957,1.36258686
0.8807285307,0.1482394841,0.9556141652,1.361022295
0.8591284387,0.1703949586,0.8962028433,1.098521878
0.8730900492,0.1469877232,0.9499903632,1.356736825
0.8601775861,0.1070366031,0.866424843,0.8863216304
0.8369767989,0.1016092656,0.8419925865,0.8574233113
0.801508171,0.3929958631,0.8106461486,0.8328767602
0.8071836542,0.1103472846,0.812645013,0.8284899931
0.7160864351,0.2947366941,0.7270918152,0.7447171983
0.9094663438,0.1937648517,0.937195363,1.071417788
0.7998459578,0.09277695557,0.8034743711,0.8141794905
0.9004817269,0.1487148965,0.9900432415,1.398204245
0.7918203045,0.1879851939,0.8361868862,0.8956347826
0.9035875221,0.198278997,0.919409185,0.9705665861
0.8987787981,0.1450985774,0.9536849798,1.313692693
0.7280215199,0.3476360622,0.731777309,0.7400559615
0.9039697083,0.2366545142,0.9327478502,1.091006079
0.9038468138,0.4354942499,0.935541535,1.096792984
0.8029797636,0.1773743794,0.912051146,1.245474794
0.907930604,0.1239245763,0.9194332161,0.9582593962
0.9066455758,0.1870893132,0.9384240266,1.123125185
0.6958047654,0.2860769709,0.6975562244,0.7017745452
0.90607817,0.4050877765,0.9338968362,1.090383375
0.9150574622,0.3736354817,0.9264566433,0.9654810046
0.9080364579,0.1719890916,0.9211902942,0.9638766656
0.9044205421,0.4342374713,0.9379588508,1.123150051
0.9087738423,0.1523182113,0.987990414,1.397946399
0.9000640964,0.2196495662,0.9308534036,1.101002435
0.9063482394,0.1479088622,0.9681927324,1.342533671
