CS_null_raster,CS_forest_motorways_k10,CS_barriers_k10,CS_barriers_k100
0.8628412364,0.1636463772,0.9197843728,1.189795654
0.8704536233,0.3844873087,0.8803130172,0.908334931
0.8233648678,0.257541824,0.9060815983,1.206220537
0.8264954509,0.098605862,0.8311506053,0.8453547384
0.7172522922,0.3488339069,0.7225769321,0.7326467336
0.7334377142,0.366765771,0.7389929633,0.7501814672
0.8413327502,0.1514068371,0.91886001,1.257845827
0.8654318152,0.2021599243,0.901693644,1.104055201
0.8765605202,0.1270682558,0.8844761057,0.909414616
0.4583670089,0.04227965942,0.4584225863,0.4585509466
0.3646429763,0.03327920612,0.3646550116,0.3646819004
0.4583670179,0.04201051247,0.4584157499,0.4585331147
0.4613168296,0.04289790356,0.4613676926,0.4614847652
0.8733200006,0.4573480929,0.9281128051,1.169961248
0.8802839863,0.4039014849,0.9146098651,1.102842643
0.8591322936,0.2130413056,0.8727177153,0.9079549204
0.8730107177,0.204390381,0.9074622155,1.102405088
0.8604756957,0.1577249971,1.135841552,1.677666599
0.8365935909,0.173219501,0.8812552552,1.110930224
0.8025063652,0.1373447984,0.8063033277,0.8165509885
0.8064271754,0.09509212658,0.8104259171,0.8223721855
0.7173308827,0.08208137043,0.7214734101,0.7300714713
0.910126365,0.1224994921,0.9204775341,0.9557391776
0.799483611,0.1474768565,0.8042987816,0.81714717
0.9009046327,0.4691668745,2.010997464,11.38320452
0.7925375088,0.09199544572,0.7959836056,0.8060892433
0.902232297,0.1482483116,0.9663796501,1.352381909
0.8991429367,0.3644245685,0.9096251629,0.9440517692
0.7237441254,0.1305201091,0.7262951168,0.732501666
0.9031474024,0.189268234,0.9356950118,1.123240738
0.9038430706,0.1237640523,0.9143876144,0.9497783911
0.8008227535,0.1223030037,0.8043306342,0.813881056
0.9073489426,0.1193435048,0.9175547354,0.9519267885
0.9077391635,0.1240868602,0.9192755824,0.9582205995
0.6932169643,0.08566833512,0.6943643499,0.6971455417
0.9053831288,0.1799350135,0.934303475,1.108631356
0.9146484606,0.1878551613,0.9930283784,1.38750645
0.9073004333,0.1949466411,0.9354194312,1.106161083
0.9044421503,0.2029863469,0.9334102586,1.106333913
0.9101921806,0.1256163693,0.9223129542,0.9633698323
0.8989540349,0.3586225403,0.9282136992,1.102770442
0.9064500879,0.2309486839,0.9208650698,0.9686317213
0.9144372891,0.2486927065,0.9428702555,1.112633104
0.7302149256,0.0784684024,0.7319723393,0.7367767347
0.6801498688,0.2958099165,0.6814284296,0.6845994867
0.905401199,0.1797193756,0.9345027059,1.109550928
0.9252395834,0.1474443412,1.962730542,10.67609617
0.7814486111,0.3727030077,0.7888120817,0.8063506135
0.9167045203,0.1498711274,0.9707102265,1.328003433
0.9155353398,0.2178995209,0.9428959344,1.110048491
0.9126843775,0.1284652639,0.9255870274,0.9694265526
0.9164202696,0.1477665601,1.867466617,9.948259643
0.9088406067,0.1493758755,0.9754983096,1.356664675
0.9072528365,0.1885487351,0.9355073335,1.107011022
0.9137754819,0.1209404438,0.9248401279,0.9620423408
0.9459490783,0.4587172634,0.9715981781,1.129007433
0.9467200772,0.1512757513,0.9915683103,1.207159791
0.9229179833,0.1448024026,0.9386422639,0.9923640235
0.7121443415,0.07516075217,0.7134789885,0.7169349258
0.8931317172,0.1446882706,0.9492669447,1.314132386
0.9359680696,0.1282304824,0.951634337,1.003957842
0.9257557564,0.1511590356,0.9389713753,0.9847336314
0.9236781019,0.1980591223,0.950453001,1.114561891
0.9255684203,0.1520850961,0.9781429697,1.302485026
0.9498419486,0.210527106,1.191645974,1.640298561
0.9357789521,0.1972062952,0.9516365215,1.00673149
0.9399820224,0.2358585084,0.964342055,1.100699817
0.949990348,0.1539982703,1.071754275,1.541497086
0.890936032,0.1849794097,0.9208885189,1.098639097
0.8915112718,0.1876776716,0.9216155509,1.100319502
0.8914939116,0.1160420254,0.9004224593,0.9301219593
0.9568853297,0.2022954702,0.9753852277,1.078672096
0.9479062879,0.1517433173,0.9922017249,1.206408887
0.9566727321,0.1550741401,1.01936213,1.416299272
0.7970550733,0.1826928686,0.8368471803,0.8942173152
0.9534822423,0.3593270049,0.976703244,1.058827298
0.9635320906,0.1971139962,0.9844601859,1.092586421
0.9553617281,0.385731673,0.9731488679,1.07497584
0.6743900033,0.09004152409,0.676362759,0.6804016891
0.9306318948,0.4444582479,1.000597284,1.127461046
0.9599228351,0.4779788534,0.9857090481,1.134019478
0.9706647049,0.294862837,0.99938534,1.130070324
0.9553905726,0.1619576817,0.9995719871,1.222011666
0.9563731261,0.4620506712,1.9637269,10.48246377
0.9564222936,0.1926543159,0.9744813881,1.07673382
0.9554768347,0.1839086537,0.9809362069,1.137664857
0.9540136029,0.1516113559,0.9927415565,1.192810633
0.9533898184,0.2581457144,1.000203112,1.231914041
0.9538303506,0.1973402571,0.9741592395,1.082828323
0.9532773567,0.1382350943,0.9847690651,1.065343549
0.9101144409,0.2001305756,0.9393322463,1.07519881
0.8243472773,0.123526882,0.8292921834,0.8429956702
0.9148340738,0.1873438455,0.9389123388,1.0648537
0.7196977039,0.07689747968,0.7211418725,0.7248585231
0.9336357075,0.1908499196,0.961828885,1.13097679
0.9267699635,0.407749392,1.012317909,1.411936393
0.8838789447,0.2226907477,0.9161252018,1.102184601
0.7869137563,0.08935614818,0.7898869582,0.7982636413
0.9231876939,0.1244450714,0.9362319219,0.9801022408
0.7782065254,0.1152834602,0.9171984771,1.404442094
0.9686721869,0.4861104426,0.9953526649,1.150274411
0.9680407849,0.229116809,0.9850591493,1.084318046
0.9663695779,0.1440340337,0.9947292551,1.086049783
0.9663345147,0.2867243162,1.000603002,1.145197825
0.9665778962,0.1551029415,1.052025508,1.480903336
0.9632880237,0.4005088605,0.9813206015,1.083702939
0.9270934306,0.3636656664,0.9896025505,1.363309947
0.9697724544,0.3795826665,0.9958804839,1.152453019
0.7972412828,0.1054380521,0.8005317126,0.8095903233
0.9792773364,0.4408296087,1.022116968,1.163241656
0.802580311,0.3787426378,0.9000624346,1.196920874
0.9788074641,0.482603368,0.9961412443,1.09589318
0.9771116037,0.2694782923,1.00217447,1.153754394
0.9802883679,0.486031597,0.9973290703,1.096045554
0.8177244441,0.1316661314,0.8923141448,0.9910118655
0.9648978269,0.3984102856,0.9822717469,1.082911717
0.7465972614,0.09978578765,0.7490407502,0.7552125134
0.8137860094,0.1486381296,0.8192123711,0.8339318093
0.9535223722,0.151995001,0.9934995167,1.197478635
0.8086774477,0.1371025371,0.9809682798,1.403371571
0.9430724967,0.1961443359,0.970669802,1.132817263
0.9567429477,0.4530102532,0.9890891497,1.095017946
0.9803738318,0.2054992994,0.9996877299,1.105162521
0.9743889913,0.1839859796,0.9954532033,1.103696527
0.9749464964,0.3419727391,1.021462631,1.180328835
0.9791937309,0.2011011425,1.010164602,1.184128025
0.9509619903,0.2770080349,0.9722531701,1.080637036
0.9637082338,0.1559294444,0.9966663817,1.176487608
0.9310204013,0.1500649632,0.979019532,1.20163975
0.929598312,0.2249388127,0.9556417882,1.091181177
0.9397990126,0.2432886034,0.9679077913,1.124183107
0.710252044,0.3224159137,0.7174203326,0.7298166054
