CS_null_raster,CS_forest_motorways_k10,CS_barriers_k10,CS_barriers_k100
0.8632315476,0.1175254738,0.8697178459,0.8899776452
0.871557045,0.1128249673,0.8785322892,0.9008677213
0.8263514986,0.1127150183,0.8330276867,0.8529228404
0.826349819,0.1240341972,0.8314234717,0.8455178035
0.7154840509,0.09214882543,0.7189455963,0.7265620878
0.7336300738,0.07826147836,0.7353520177,0.739974102
0.8405949148,0.4209596392,0.887782716,1.103226207
0.865715301,0.4195360233,0.9077359918,1.135695196
0.8768962622,0.1146274051,0.8851676086,0.9122540357
0.4933083908,0.04543740424,0.4933895472,0.4935862512
0.3773243101,0.03445060006,0.3773407026,0.3773785633
0.4399325243,0.04039414636,0.4399780748,0.4400793341
0.48631696,0.04542103774,0.4863890212,0.4865517572
0.8736248159,0.1117990354,0.8807045587,0.9035630626
0.8806297189,0.4483022943,0.9082839581,0.9703267575
0.8591916465,0.1066387328,0.8655111287,0.8857015486
0.8724844097,0.2255068479,0.9077469551,1.106787184
0.8598355884,0.1135924799,0.8670373479,0.8901276927
0.836551269,0.1494741448,0.9007458409,1.208189065
0.8025775208,0.09885268142,0.8068798688,0.8196531293
0.804998235,0.1286913167,0.8669183027,0.9424110135
0.7161081227,0.08869528803,0.7178047711,0.7219854038
0.9102387147,0.1393635944,0.9239512919,0.970140025
0.798968431,0.1956286964,0.8044649288,0.8189566046
0.9003778128,0.1782516314,0.9297901042,1.106030018
0.7916144457,0.0906725603,0.7949180867,0.8045413481
0.9029479637,0.1219623764,0.913223751,0.9476717311
0.8994608453,0.146159911,0.9577694619,1.327025143
0.723735997,0.08915246673,0.7255756153,0.7301337865
0.9035824167,0.1391933115,0.9166873681,0.9603862555
0.9035638585,0.1456552536,0.9567987702,1.313478595
0.8038011677,0.09330572771,0.8073910312,0.8178731734
0.9067334797,0.3891605288,0.9422779522,1.091716846
0.9076140965,0.1915135769,0.9363431684,1.073775597
0.6923170165,0.07573964189,0.6935395211,0.696780729
0.9068619016,0.1542573037,0.9614701347,1.303702743
0.9160647865,0.4621995965,0.9433125238,1.090751037
0.9075660382,0.4504156937,0.9595547191,1.057525655
0.9047531488,0.1453902377,0.9578795956,1.312526946
