CS_null_raster,CS_forest_motorways_k10,CS_barriers_k10,CS_barriers_k100
0.8624042618,0.18394846,0.8742006273,0.906913266
0.8703948606,0.4562004261,0.927312111,1.171089156
0.8249017396,0.6694038975,1.891492543,10.72817071
0.8285706039,0.2074336072,0.8809079548,1.167820958
0.7135251048,0.07580350761,0.7227516539,0.7383462679
0.732399708,0.0831210243,0.7387033577,0.7509130313
0.8425727878,0.4207483822,0.8579620726,0.898041133
0.8660197419,0.2002027892,0.9024544675,1.106111101
0.8767446716,0.1446464144,0.944934014,1.336084128
0.4832040065,0.04469548101,0.4832943864,0.4834969379
0.3773243097,0.03445059704,0.3773407027,0.3773785633
0.4399325409,0.04030306903,0.4399702388,0.440060103
0.483203918,0.04459873846,0.4832740099,0.4834388776
0.8744691987,0.115522611,0.8827034964,0.9095808842
0.8797531787,0.4206429696,0.9144896018,1.104230399
0.8601220249,0.1438177812,0.8684150193,0.8947432457
0.8731551595,0.1988172892,0.9110174659,0.9907293319
0.8587585822,0.2043851707,0.8741661678,0.9133419994
0.8375924917,0.1012631738,0.8428932142,0.8593755624
0.8027189718,0.1819256193,0.8283494635,0.8733211178
0.8064699318,0.1496404103,0.8101780726,0.820362669
0.7198824524,0.1424924987,0.7219016643,0.7271803315
0.9105360525,0.2729469325,0.9404661437,1.104539452
0.7982486609,0.1454522422,0.8029408609,0.8154495549
0.9010779008,0.2929683704,0.932052093,1.094830773
0.7942417146,0.09928493071,0.7982579711,0.8100378836
0.9035673786,0.1304948006,0.9158678292,0.9571383449
0.8982572954,0.4002168011,0.9281202954,1.104611224
0.72440424,0.08097976168,0.7298005027,0.7403505171
0.9039946955,0.1453501108,0.957640193,1.313468711
0.9031708866,0.4218230841,0.9418963436,1.093938424
0.8036873281,0.3972289701,0.8647753215,1.150016672
0.9072685647,0.1511721898,0.9664417212,1.311560126
0.9068907189,0.1854555445,0.9372011163,1.116786594
0.6915076244,0.07175204009,0.6925738625,0.6953238866
0.9061441596,0.1810705442,0.9352308832,1.110218624
0.9143024783,0.1924613647,0.9527389738,1.1416893
0.9083447196,0.1195879381,0.9186716489,0.9534543272
0.9053597748,0.11896606,0.9152880327,0.94874969
0.9099430085,0.1513319615,0.9701247545,1.313850592
0.8992589305,0.1682742606,0.9092540662,0.9423785955
0.9063603053,0.1192745699,0.9166987216,0.9513984706
0.914980443,0.1234561258,0.9269715699,0.9674640285
0.7310604713,0.3680850581,0.737422699,0.7496289187
0.6816966626,0.06996211925,0.6827032222,0.6853477439
0.9053783499,0.2138857103,0.9343792988,1.107259645
0.9251887093,0.1476952343,1.027731954,1.424998275
0.7823398675,0.374360872,0.7903540517,0.8091785466
0.9170765059,0.1229345403,0.9284166285,0.9668638491
0.9173688157,0.2576801392,0.9953354238,1.171819838
0.9126886791,0.1555237538,0.9765624391,1.353067739
0.9153156418,0.2508672111,0.9434060496,1.112101389
0.9085230204,0.1457863183,0.9614373062,1.314664377
0.90837381,0.151171093,0.9642421915,1.304685608
0.9125087194,0.3301435187,0.9537678419,1.148678378
0.9462793553,0.1503514519,0.9891667224,1.200340063
0.9467944165,0.1804571551,0.9720768398,1.129071637
0.9237934199,0.4713473731,0.9494820816,1.095141849
0.7128335552,0.08745970582,0.7145123821,0.7189897948
0.8930987685,0.1483380507,0.9926319081,1.417982408
