CS_null_raster,CS_forest_areas_k10,CS_forest_areas_k100,CS_forest_areas_k1000,CS_forest_motorways_k10,CS_forest_motorways_k100,CS_forest_motorways_k1000,CS_barriers_k10,CS_barriers_k100,CS_barriers_k1000
0.8635456193,0.1076090967,0.01470100745,0.001612834789,0.1079541512,0.0147316512,0.001613703564,0.8699962557,0.8906471464,0.9156632453
0.8717067861,0.1136134512,0.0159238769,0.001765731666,0.1139629846,0.0159553479,0.00176662277,0.8787307809,0.9011618585,0.9274381139
0.8255630223,0.09883618645,0.01314938093,0.001423367005,0.09912203499,0.01317312695,0.001424013973,0.8304167412,0.8452949786,0.8624846129
0.8274589626,0.09876921162,0.0131216978,0.001420527552,0.09905300042,0.01314550989,0.00142117924,0.8322775769,0.8470556582,0.8640673071
0.7154069641,0.1008979035,0.01398378175,0.001511261058,0.1009770511,0.01398904837,0.001511556805,0.7173286162,0.7220510731,0.7261306108
0.731080502,0.1777014575,0.03506356012,0.004376846206,0.177810061,0.03507311434,0.00437781391,0.7335488257,0.7396483395,0.7450037143
0.8418438056,0.104460834,0.0140842653,0.001530749255,0.1047920033,0.014111548,0.001531494006,0.8479183656,0.8669482933,0.8897249989
0.8673432165,0.1114192452,0.01545771619,0.001704964522,0.1118234132,0.01549442793,0.001706029429,0.8748809301,0.8992913697,0.9298188372
0.8765470374,0.1141075097,0.01586122748,0.001753157444,0.1145239337,0.0159000996,0.001754299711,0.8842445705,0.9094565826,0.9415045444
0.493308384,0.04543443497,0.004973399632,0.0005025131382,0.04543740014,0.004973567559,0.0005025171043,0.4933895471,0.493586251,0.4937613362
0.3773243205,0.03444996931,0.003757600089,0.0003792822901,0.03445056434,0.003757633084,0.0003792825532,0.3773407026,0.3773785634,0.3774100381
0.4399325444,0.04039234862,0.004415161238,0.0004458978225,0.04039414437,0.004415255596,0.0004458998862,0.4399773922,0.4400793341,0.4401602148
0.493308384,0.04543443497,0.004973399632,0.0005025131382,0.04543740014,0.004973567559,0.0005025171043,0.4933895471,0.493586251,0.4937613362
0.874129982,0.1122901789,0.01567523369,0.001734870316,0.1127114067,0.01571412259,0.001736009436,0.8820391342,0.9078663823,0.9405564558
0.880353342,0.2047685438,0.03603517277,0.004039244864,0.2051684063,0.03607247936,0.004040333374,0.8879702815,0.913004951,0.9447425703
0.8605022611,0.1067210619,0.01454148796,0.001593382375,0.1070608773,0.01457154286,0.001594231586,0.8667854379,0.8868244933,0.9109923297
0.873618214,0.1135736135,0.01588679676,0.001760116797,0.1139267634,0.01591857298,0.001761016025,0.8807696409,0.9037132405,0.9308374096
0.858970512,0.1076899718,0.01477223293,0.001623013851,0.1080219229,0.01480181034,0.001623848341,0.8650862975,0.8843941829,0.9070298218
