,forest_areas_k10,forest_areas_k100,forest_areas_k1000,motorways_k10,motorways_k100,motorways_k1000
StHubert_su053vert2010,-0.164607059585498,-0.254519981994036,-0.250181740348207,-0.254952918304959,-0.248928351498962,-0.253879163022237
StHubert_su059jaun2006,-0.00738543392185083,-0.0324894297035731,-0.0324335117816042,-0.0323852445286876,-0.0324615966904124,-0.0324922921476549
Hertogenwald_su081jaun2004,-0.0228587868477269,-0.0495147455247363,-0.048988646804638,-0.0460777330369627,-0.0383723496218722,-0.0469420774489993
Hertogenwald_su088jaun2003,-0.0108136046718028,-0.00856683247266934,-0.0111336508515214,-0.0140585285743965,-0.00948196166907354,0.00288844473986182
Famenne_su089jaun2006,-0.307878683668576,-0.340424571105573,-0.365822443042117,-0.364400776946431,-0.36067361222641,-0.329430628251455
Hertogenwald_su1007vert2009,-0.0180032812934864,-0.0252526499690944,-0.025389582558145,-0.0250053382813405,-0.0227112005719678,-0.0253595407636612
Famenne_su1019vert2009,-0.01050015321615,-0.0222149816703778,-0.0221842917408477,-0.0221790743211167,-0.0222899688967448,-0.02228394248089
Hertogenwald_su1053blan2011,-0.0722859451909945,-0.171157447454876,-0.171121775476273,-0.171158006034048,-0.171146768403551,-0.170743189178714
Hertogenwald_su1055blan2011,0.000204215972816328,0.0200434864027625,0.000299220151694102,0.00042655095177549,3.14612091230773e-05,3.94396493719063e-05
CondrozLg_su1071blan2011,-0.00318433598651958,-0.00108117449723979,-0.00311993302430238,-0.00150968503525488,-0.00198280343667856,-0.00320692578530888
Couvin_su1073vert2017,-0.00759288183170971,-0.00830882222572208,-0.00671837932864585,-0.00689809064175765,-0.00819702718324833,0.00802339621700558
CondrozLg_su1078blan2012,-0.000756100621032386,-0.000869733845665259,-0.000864666449988326,-0.00087722591407379,-0.000853794522510658,-0.000870954583956439
Famenne_su1166jaun2008,-0.00579300121666498,-0.00876917119304713,-0.00864849438026111,-0.00862194529002876,-0.00883588913340975,-0.00885645312440089
StHubert_su1240vert2009,-0.0073856154119909,-0.0448159241439293,-0.0442508979007888,-0.0434472268247253,-0.043232181015089,-0.0445960439424862
StHubert_su1241vert2009,-0.121691884462872,-0.184054366606825,-0.1838443742191,-0.181546857865505,-0.184186909305734,-0.18437375840837
StHubert_su1243vert2009,-0.0868431347802559,-0.157022023406975,-0.156961657191826,-0.156800858986116,-0.156770203369234,-0.156997171716487
StHubert_su1245vert2009,-0.00108955704858309,-0.0615637450273364,-0.0610553229980555,-0.0617045525064423,-0.0617350686832482,-0.0611822665701084
StHubert_su1257vert2010,-0.000526710571888237,-0.00391127332210745,-0.00484634570144245,0.0177073015665457,-0.00373747572066765,-0.00456023008631479
StHubert_su1272vert2009,-0.114457413372654,-0.218798523867886,-0.218237050479248,-0.217551293106941,-0.21884012071325,-0.21818296331926
StHubert_su1273vert2009,-0.00351148904463932,-0.00607890253545683,-0.00607617393852181,-0.00593394759164762,-0.00522348802447396,-0.00589599020438377
Famenne_su127bleu2005,-0.0704204651813435,-0.156135358346198,-0.156286215638146,-0.156566193078856,-0.156597464863045,-0.156311824807256
Hertogenwald_su1281vert2010,-0.0615312985053451,-0.0854696639313773,-0.0852605907931638,-0.0856584048880863,-0.086026662099516,-0.0860742739576517
Hertogenwald_su1284vert2010,-0.0484830153357988,-0.181890777326622,-0.18192227155568,-0.181758483280049,-0.181844772726363,-0.181563702139994
Hertogenwald_su1336vert2010,-0.0252154417489612,-0.0370595320996617,-0.0370627529399582,-0.0370147488914117,-0.0370225386628428,-0.0370587719087428
StHubert_su1343vert2010,-0.0759776517685411,-0.117155140008204,-0.117178327853773,-0.117183981906255,-0.117119326519281,-0.117160770062087
Famenne_su136bleu2005,-0.185593338045705,-0.253976995907441,-0.248404217466569,-0.254586204623564,-0.254576274748104,-0.25546511953136
StHubert_su1423vert2010,-0.174268082430886,-0.241319293983957,-0.242080314928983,-0.241361358251356,-0.242221965567537,-0.237493329096566
Hertogenwald_su1450jaun2008,-0.018463249959237,-0.08539319520994,-0.0891843298438349,-0.0819135391196424,-0.0853457310167553,-0.0884386608665474
StHubert_su1502blan2011,-0.000917850071078048,-0.00716565767806799,-0.00717040373641089,-0.00717055509658212,-0.00715780843628383,-0.0071695353352593
StHubert_su1511blan2011,-0.0753994501298711,-0.159713130611928,-0.159656190589284,-0.159431052973608,-0.159675938913051,-0.159660556125295
StHubert_su1520blan2011,-0.00635656151807,-0.0206991521161808,-0.0206392106638108,-0.0203618480114402,-0.0204837041808977,-0.0207291305382954
Famenne_su1551blanc2011,-0.0111497427492844,-0.0471739178104003,-0.0471720300011255,-0.0467656788696826,-0.0471616554649735,-0.0471400210826101
Famenne_su1595blan2011,-0.00981146863410503,-0.0163863925455079,-0.0163535658437039,-0.0163126478404814,-0.0160355943850538,-0.0163632982229973
CondrozLg_su1768blan2012,0.00347992072250723,-0.0144110770171391,-0.0161754781434981,-0.0165748672218582,-0.0157639618683529,-0.0164665324050196
CondrozLg_su1794blan2012,-0.0259034235113319,-0.0314115320354023,-0.0312155128652015,-0.0311673597946145,-0.0314328578523238,-0.0313475787493259
StHubert_su1831blanc2011,-0.0126331411501692,-0.0541271671210134,-0.054163672969484,-0.0540558082546713,-0.0541629403352467,-0.0541420580476876
Namur_su1970blan2011,-0.00269862131799225,-0.00534948902774273,-0.00534713549143347,-0.00534553429664267,-0.00534957271251326,-0.00444786937579794
Namur_su1978blan2012,0.0199671807836818,-0.0642200481143318,-0.0618449849746575,-0.0613888985983606,-0.0636111172331906,-0.0635018588873536
Famenne_su21bleu2005,1.23599047663348e-17,0.0036545472160663,-0.000307220842202982,0.00328673483135756,-0.00102328476514063,0.00342884129582775
Marche_su2511blan2015,-0.00234384148640684,-0.00865055720890889,-0.00865521206828674,-0.00866493810669444,-0.00856696267509869,-0.00866387559133735
Froidchapelle_su260vert2017,-0.0480530954645759,0.15428310142366,0.150032781701871,-0.0379252817769405,0.0105190596813361,0.0278073696125425
Couvin_su2661oran2016,-2.94902990916057e-16,-0.0254234715589044,-0.0254574575938124,-0.0254366929497076,-0.0254450097517914,-0.0254377603723495
StHubert_su287blan2006,-0.0203796138973859,-0.0414531245636999,-0.0384231896646375,-0.0413709716570033,-0.0412497364247556,-0.0409285128791018
Hertogenwald_su303vert2010,-0.0188421890207908,-0.12914481212205,-0.131148884276764,-0.130888738519259,-0.12994039186738,-0.131098529756176
Namur_su3140blan2012,-0.00122546792169846,-0.0284807230487281,-0.027141630653234,-0.0283031803880095,-0.0280467061346132,-0.0280536666521652
Thuin_su3141blan2012,-0.00225007095466979,-0.00517056792210577,-0.00291273418554382,-0.00480868710878592,-0.00514456719735782,-0.00489380987848838
Thuin_su3145blan2012,0.00977481671797146,-0.0453824658059828,-0.0449344929892912,-0.0454550660587743,-0.0453688668688767,-0.0453700950331108
Thuin_su3147blan2013,-0.00507328617261181,-0.0164683614311254,-0.0147257075817513,-0.0164368149413278,-0.0164775014229659,-0.0164589173831718
Marche_su3204blan2012,-0.00868171076420193,-0.0460974755295986,-0.0461266862812964,-0.0460887968296513,-0.045979939742556,-0.0459728989862194
Marche_su3206jaun2015,-0.020278911665604,-0.0286917785778529,-0.0286984105102205,-0.0287700502789137,-0.0287765199815709,-0.0287138633815769
Hertogenwald_su320vert2011,-0.00865986622028125,-0.00944422246249904,-0.00956230611993473,-0.00951527363024549,-0.00956541667476921,-0.00956200253748544
Marche_su3216blan2013,-0.0873940042897345,-0.105937963003704,-0.105835522110065,-0.105561499664493,-0.105915233283204,-0.105820163342794
Marche_su3218blan2013,-0.0530716845622381,-0.0607791775699113,-0.060368896208428,-0.0601870928093801,-0.0600248957079732,-0.0591796580699494
Marche_su3236blan2012,-0.0850715135511873,-0.129616378272932,-0.129636166946433,-0.129637187154127,-0.129358539345325,-0.129618490019481
Marche_su3270jaun2014,6.66133814775094e-16,-0.711908596038231,-0.711982050184685,-0.731517665630361,-0.711901635522096,-0.731483434359979
Famenne_su366bleu2005,-0.00109943393699553,-0.0213986255447072,-0.0214633217777823,-0.0212890873061287,-0.0212225085349516,-0.0211663681463202
StHubert_su398bleu2005,0.00146689119425213,0.000378017489241672,0.000750099038163721,0.000531799319724427,0.00383784594730209,-3.27109572631225e-05
Famenne_su401vert2009,-0.0948288080427211,-0.105068497982703,-0.103468153003325,-0.104386241771289,-0.104946248430511,-0.105071141121549
Hertogenwald_su429jaun2007,0.00643917466465325,-0.0914575550735926,-0.0925375450879589,-0.0922703946936088,-0.0912842679680067,-0.0924628600928644
Famenne_su456vert2009,-0.128336814308346,-0.19899262437734,-0.198759593675799,-0.198661149891419,-0.185744909811444,-0.194176787905043
Famenne_su478vert2009,-0.0088395252342461,-0.0266065827571991,-0.0266212855215596,-0.0266507315465501,-0.0266280520648077,-0.0266420424676508
Famenne_su483vert2009,-0.119521362592759,-0.15525642752185,-0.154646175842207,-0.155424835468929,-0.154255010532393,-0.155411489893043
Famenne_su493vert2009,-0.0280490105567664,-0.0579331166379065,-0.0576804386262421,-0.0579120631668931,-0.0578903766698175,-0.0580378185273398
StHubert_su496jaun2007b,-0.0270194604953249,0.072921037348257,-0.0329712173165838,-0.032924111715751,-0.031767708546546,-0.0332193875355696
Hertogenwald_su513jaun2008,-0.0421182395758119,-0.108709570399386,-0.108994339929547,-0.10867607752929,-0.108715477616359,-0.106942622705056
StHubert_su525jaun2007,8.32667268468867e-17,-0.0821328599089217,-0.0682281719440477,-0.0840214657390973,-0.082634494931981,-0.0797903094317697
StHubert_su527jaun2007,-0.0169004912459177,-0.0439811863507111,-0.0562358912801491,-0.0572850773421819,-0.054744315015559,-0.0572659075799084
Famenne_su553jaun2008,-0.000831251939209391,-0.00277538619397587,-0.00304695930121253,-0.00351678206696802,-0.00252365014793639,-0.00301637975397769
Famenne_su816jaun2008,-0.0112660989574298,-0.0181074093358225,-0.0179660838488226,-0.0180957152197881,-0.0181072380187011,-0.0177007953787404
Famenne_su858vert2009,-0.00404240684020264,-0.0231560050564444,-0.0231560189782267,-0.0231407397355807,-0.0231559488412939,-0.021830149547287
Famenne_su927vert2009,-0.090676696146709,-0.117348424869323,-0.11819221473007,-0.118441520843025,-0.118738244045146,-0.118619680496688
Famenne_su929vert2009,-0.0215003603049397,-0.0306685417208091,-0.0306287741265824,-0.0307442651512588,-0.0300931802994856,-0.0307547130579287
Famenne_su931vert2009,-0.105397892156837,-0.190725858693005,-0.19008230069857,-0.190710057595454,-0.190718089020738,-0.190725706393065
Thuin_su??2012,-0.0302297368146337,-0.0454442736166024,-0.0454435125895176,-0.0451244357592186,-0.0454524260436911,-0.0454352062852063
