time,longitude,latitude,x_lambert93,y_lambert93,x_openStreetMap,y_openStreetMap
2010.51061583587,6.0507706,50.5826548,916370.369254858,7058129.14102156,673568.702098911,6547799.58888302
2010.51061830923,6.0508557,50.5817884,916380.130703677,7058032.91086026,673578.175387578,6547647.69640301
2010.51073179858,6.0487311,50.5799434,916237.454751694,7057821.67221374,673341.665997437,6547324.25046756
2010.51084668316,6.0492112,50.5797083,916272.501189956,7057796.81154026,673395.110484969,6547283.03612602
2010.51096156773,6.0485818,50.579778,916227.581938045,7057802.84808489,673325.045997462,6547295.25490339
2010.51107562785,6.0485603,50.5797385,916226.227634659,7057798.39136525,673322.65262841,6547288.33034298
2010.51118873668,6.0484856,50.5797214,916221.005535176,7057796.28293637,673314.337062448,6547285.33262368
2010.51130168696,6.0480777,50.5795701,916192.739224739,7057778.32065026,673268.929842153,6547258.80899106
2010.51141596905,6.0480564,50.5797375,916190.509410428,7057796.90029091,673266.558736999,6547288.15503772
2010.51153129756,6.048077,50.5796787,916192.222625041,7057790.41002489,673268.851918511,6547277.84709547
2010.51164535769,6.0481628,50.5796469,916198.441916569,7057787.1043971,673278.403130819,6547272.27239737
2010.51210292998,6.0466961,50.5798325,916093.666543704,7057803.75387643,673115.130833672,6547304.80905325
2010.51256104135,6.0465462,50.5798841,916082.818064157,7057809.08870036,673098.444042004,6547313.85482735
2010.51301712329,6.0465587,50.5798822,916083.712379326,7057808.91136484,673099.835535637,6547313.52174634
2010.51392960426,6.0455712,50.5803836,916011.55233648,7057862.03438314,672989.907538479,6547401.42053655
2010.51438676433,6.0458785,50.5821113,916025.91353042,7058055.23415858,673024.116018001,6547704.30512736
2010.51484284627,6.0457862,50.5821384,916019.254049739,7058057.99891789,673013.841229001,6547709.05614046
2010.51530000634,6.046381,50.5803147,916069.256182259,7057856.57879237,673080.054062124,6547389.34184797
2010.51575684932,6.0463942,50.5802956,916070.274031895,7057854.48835541,673081.523479402,6547385.99347734
2010.51621270928,6.0493318,50.5797554,916280.848165895,7057802.38587211,673408.535615556,6547291.29300229
2010.5166696791,6.0489696,50.5795928,916255.870447408,7057783.29032424,673368.215695993,6547262.78840704
2010.5171263001,6.0486703,50.5796902,916234.233491626,7057793.31497069,673334.897772398,6547279.86310357
2010.517581621,6.0485086,50.5798021,916222.288998139,7057805.33088183,673316.897410736,6547299.47976463
2010.51803802004,6.0492155,50.5794366,916273.97475971,7057766.5728413,673395.589158777,6547235.40585656
2010.51849559234,6.0492476,50.5791391,916277.530135324,7057733.53778499,673399.162514431,6547183.25304265
2010.51895297438,6.047476,50.5792817,916151.323162355,7057744.56356985,673201.948904543,6547208.25129151
2010.51986567732,6.0461886,50.5799605,916057.138788881,7057816.61639994,673058.636192097,6547327.24820098
2010.52032115677,6.049241,50.5792143,916276.738762374,7057741.89230421,673398.427805794,6547196.43584047
2010.52077796804,6.0589665,50.5826085,916951.557966766,7058146.47437254,674481.065513503,6547791.47175114
2010.52214951167,6.0567548,50.5803189,916804.648832552,7057885.48110583,674234.860195716,6547390.07813907
2010.52260521309,6.0583375,50.5823571,916908.054263715,7058116.75604226,674411.045553795,6547747.39744219
2010.52306104135,6.0567936,50.5813532,916802.939239596,7058000.74409477,674239.179391959,6547571.40058837
2010.52351769406,6.0568402,50.5813203,916806.384566503,7057997.20903393,674244.366880229,6547565.6328498
2010.5239760274,6.0568008,50.5812607,916803.84852871,7057990.46513048,674239.980892293,6547555.18431237
2010.52488812785,6.05671,50.5813004,916797.240556595,7057994.63593341,674229.873082528,6547562.14415882
