time,longitude,latitude,x_lambert93,y_lambert93,x_openStreetMap,y_openStreetMap
2008.5833418326,5.0832947,50.1726321,848978.358737203,7010242.15794641,565869.777556146,6476226.53002972
2008.58345278516,5.0833194,50.1726934,848979.944567368,7010249.02840504,565872.527147569,6476237.18442226
2008.58368172986,5.0829779,50.172809,848955.18973597,7010261.25262703,565834.511541464,6476257.27659286
2008.58379518749,5.08303,50.1728435,848958.813242603,7010265.1914179,565840.311286935,6476263.27296808
2008.583909533,5.0902546,50.1734187,849473.633174414,7010342.87450031,566644.550080117,6476363.24795438
2008.58402536887,5.0902769,50.1736116,849474.658897536,7010364.39013007,566647.032504762,6476396.77599657
2008.5842518085,5.0902403,50.1736165,849472.027818659,7010364.86631017,566642.958211399,6476397.6276697
2008.58436688333,5.0902214,50.1735666,849470.823681154,7010359.27571967,566640.854273023,6476388.95451272
2008.58447992874,5.0902648,50.1734435,849474.289306208,7010345.65451715,566645.685538924,6476367.55844678
2008.58459449622,5.0902115,50.1734885,849470.346094201,7010350.56297305,566639.752210065,6476375.37991047
2008.5847041466,5.0902638,50.1734237,849474.276173258,7010343.44851013,566645.574219433,6476364.11700509
2008.58481728714,5.0901982,50.1735219,849469.29679495,7010354.25584856,566638.271660838,6476381.1851794
2008.58492925441,5.0902298,50.1735758,849471.397104822,7010360.31575436,566641.789356748,6476390.55357105
2008.58504325112,5.0901706,50.1735044,849467.375168788,7010352.25552358,566635.199242893,6476378.14349607
2008.58515756492,5.0903487,50.1734327,849480.319405771,7010344.61109727,566655.025244202,6476365.68129659
2008.58538571687,5.0902294,50.1735014,849471.587796543,7010352.03287045,566641.74482895,6476377.62206476
2008.58561409079,5.0902035,50.1736113,849469.412210385,7010364.21779183,566638.861654138,6476396.72385332
2008.58584233787,5.0901517,50.1735581,849465.865680858,7010358.19757353,566633.095304517,6476387.47712216
2008.58607283635,5.0902391,50.1735693,849472.081146704,7010359.60978583,566642.82462801,6476389.42380155
2008.58630025898,5.0902214,50.1735493,849470.874671515,7010357.34990252,566640.854273023,6476385.94758867
2008.58652933052,5.0900758,50.1735786,849460.378953643,7010360.33594495,566624.646155163,6476391.04024103
2008.58675748247,5.0903143,50.1734815,849477.716204467,7010349.97833866,566651.195853719,6476374.16323786
2008.586985571,5.0901647,50.1735089,849466.94009735,7010352.74529061,566634.542457897,6476378.92564311
2008.58721299363,5.0902028,50.1734749,849469.76418989,7010349.03256756,566638.783730496,6476373.01608956
2008.58743337461,5.0900126,50.1733843,849456.433231973,7010338.58705792,566617.610763346,6476357.26888799
2008.58766162169,5.0900569,50.1734078,849459.531118437,7010341.28690175,566622.54221679,6476361.35342416
2008.58789097862,5.0900442,50.1734843,849458.397697733,7010349.77875928,566621.128459256,6476374.64990689
2008.58811830611,5.0900457,50.1733689,849458.845040797,7010336.93539762,566621.295438492,6476354.59221431
2008.58834633123,5.089704,50.1735147,849433.986204454,7010352.51898392,566583.257568486,6476379.93374384
2008.58857835178,5.0898425,50.1733851,849444.269893752,7010338.35416888,566598.675317961,6476357.407936
2008.58880377669,5.0897609,50.1731841,849439.028355184,7010315.82463941,566589.591647512,6476322.47219747
2008.58903326045,5.0897352,50.1732927,849436.870959278,7010327.86523219,566586.730736601,6476341.3479066
2008.58926176121,5.0897647,50.1732854,849439.001521882,7010327.1084336,566590.01466158,6476340.07909608
2008.58948978633,5.0897427,50.1732936,849437.404506655,7010327.97961301,566587.565632781,6476341.50433531
2008.58971892128,5.089682,50.1732743,849433.121736343,7010325.71628462,566580.808539691,6476338.14980922
2008.58994536091,5.0896639,50.1729841,849432.682820479,7010293.37729567,566578.793656908,6476287.71041445
2008.59016523453,5.0914046,50.17321,849556.465662952,7010321.81977529,566772.567494531,6476326.97385901
2008.59039395726,5.0955726,50.1732728,849854.264108062,7010336.71272581,567236.547132157,6476337.88909481
2008.59062375812,5.0971341,50.173135,849966.308125849,7010324.33752726,567410.372517031,6476313.93816626
2008.59085099049,5.097387,50.1732442,849984.065820543,7010336.9738563,567438.525216254,6476332.9181417
2008.59108266223,5.0977356,50.1732231,850009.050743223,7010335.28723223,567477.331190743,6476329.25076211
2008.59130681875,5.1014958,50.1731432,850278.115943122,7010333.54273507,567895.914740024,6476315.363401
2008.59153963204,5.1014617,50.173087,850275.844560853,7010327.22174241,567892.118745388,6476305.59533364
2008.59176382027,5.1016417,50.1730376,850288.859746438,7010322.06519102,567912.15625373,6476297.00917715
2008.59199209906,5.101572,50.1731156,850283.645514341,7010330.61536993,567904.397285222,6476310.5662704
2008.59222079008,5.1016011,50.1730982,850285.777531388,7010328.7338138,567907.636682405,6476307.54199383
2008.59245249353,5.1015949,50.1730408,850285.504375379,7010322.33233672,567906.946501563,6476297.56536516
2008.59267718912,5.1016608,50.1730401,850290.217860235,7010322.37984013,567914.282456004,6476297.44369902
