time,longitude,latitude,x_lambert93,y_lambert93,x_openStreetMap,y_openStreetMap
2009.52739003044,5.1091208,50.1878967,850779.37254803,7011990.42890327,568744.725857323,6478880.05239122
2009.52739989219,5.1091539,50.1878524,850781.870033567,7011985.56061844,568748.410532468,6478872.35027194
2009.5275129376,5.1091046,50.1879511,850778.052907421,7011996.45379507,568742.922481571,6478889.51053392
2009.52762712456,5.1089724,50.1881151,850768.116570398,7012014.45790518,568728.20604489,6478918.02411756
2009.52774032851,5.1089826,50.1880248,850769.114129286,7012004.42515302,568729.341503694,6478902.32424811
2009.52785518138,5.1090117,50.1880074,850771.245712289,7012002.54374231,568732.580900878,6478899.29902751
2009.52796936834,5.1089905,50.1880402,850769.632959673,7012006.15457044,568730.220927672,6478905.00174313
2009.52808298453,5.1089911,50.1881089,850769.471533343,7012013.80342424,568730.287719366,6478916.94616323
2009.52820050101,5.1089099,50.1881091,850763.667419529,7012013.67064952,568721.248576715,6478916.98093595
2009.52831240487,5.1089318,50.1879051,850765.839320575,7011991.0031134,568723.686473562,6478881.51283902
2009.52842782851,5.1089301,50.1881486,850764.993684952,7012018.10637203,568723.497230429,6478923.84855065
2009.52854036657,5.1088362,50.188306,850757.81441421,7012035.44891827,568713.044330244,6478951.21474769
2009.52865449011,5.1088197,50.1882756,850756.725532631,7012032.03327617,568711.207558646,6478945.9292744
2009.52876728184,5.108812,50.1882357,850756.293850788,7012027.57689183,568710.350398565,6478938.99209581
2009.5288827689,5.1087194,50.1881524,850749.923265268,7012018.12711481,568700.042213718,6478924.50923287
2009.52899603628,5.1088803,50.188446,850760.54998366,7012051.11797244,568717.953519787,6478975.55578654
2009.52911092085,5.1088476,50.1883549,850758.483775121,7012040.91425092,568714.313372437,6478959.71671672
2009.52922548833,5.1096912,50.1885478,850818.203315586,7012063.99891133,568808.222494872,6478993.25524389
2009.52933942161,5.1116122,50.1841385,850968.628833305,7011576.82642675,569022.067236684,6478226.66685524
2009.52945281583,5.1104289,50.1832626,850886.656191155,7011477.05982297,568890.34288323,6478074.39379153
2009.52956789066,5.1104772,50.1831671,850890.392821937,7011466.52109923,568895.719614636,6478057.79151992
2009.52968363141,5.1116604,50.1811575,850980.950508765,7011245.07530538,569027.432836141,6477708.43874634
2009.52979623288,5.1103633,50.180684,850889.640710342,7011189.88627312,568883.040324632,6477626.12672459
2009.52991007103,5.1099955,50.18072,850863.242391339,7011193.19099617,568842.09701592,6477632.38484331
2009.53002704845,5.1097281,50.1806546,850844.322584785,7011185.39986463,568812.330184082,6477621.01593114
2009.5301415208,5.108419,50.1804516,850751.348494375,7011160.30201811,568666.601838683,6477585.72720502
2009.53025234652,5.1082798,50.1804333,850741.452504034,7011157.99913066,568651.106165566,6477582.54601196
2009.53036697742,5.1065287,50.1793671,850619.446106297,7011035.96905285,568456.174605238,6477397.20450676
2009.53048081558,5.1066477,50.1793862,850627.89599842,7011038.3222454,568469.421624641,6477400.5246943
2009.53059566844,5.1065857,50.179337,850623.610123326,7011032.72707426,568462.519816213,6477391.97217203
2009.53070909437,5.1065984,50.179341,850624.506092233,7011033.19657663,568463.933573747,6477392.66749871
2009.53082261542,5.1065733,50.1792855,850622.876698072,7011026.97048483,568461.139454526,6477383.01984616
2009.53093778539,5.1065718,50.1793204,850622.665801272,7011030.85266174,568460.97247529,6477389.08656691
2009.53105152841,5.1065566,50.1793199,850621.580724281,7011030.76800793,568459.28041903,6477388.99965111
2009.53116479579,5.1064687,50.1794151,850615.014472049,7011041.1979254,568449.49543579,6477405.54843608
2009.53128028285,5.1062405,50.1801671,850596.468310456,7011124.47473588,568424.09232799,6477536.27108999
2009.53139719685,5.1048074,50.1840557,850482.484325135,7011554.6199734,568264.560365735,6478212.27215909
2009.53150818113,5.1079614,50.1852611,850704.341926976,7011694.82019135,568615.662039698,6478421.83219096
2009.5316246829,5.1139783,50.1892996,851122.366491947,7012155.88617776,569285.460283852,6479123.96812161
2009.53173665018,5.114491,50.1888118,851160.463684753,7012102.56549066,569342.533786782,6479039.15578057
2009.53196610223,5.1147658,50.1890408,851179.420958529,7012128.58392312,569373.124382851,6479078.97122434
2009.53219279554,5.1138756,50.1904547,851111.583353573,7012284.27586392,569274.027772147,6479324.80539165
2009.53242161339,5.1109284,50.1907639,850900.030945605,7012313.06004292,568945.946968882,6479378.56682874
2009.53265043125,5.110184,50.1911561,850845.663028896,7012355.29771121,568863.080739934,6479446.76020028
2009.53812947108,5.1028478,50.2016545,850290.230880348,7013510.00835025,568046.418691577,6481272.36689637
2009.53835755961,5.1026293,50.2012072,850275.944662231,7013459.79791207,568022.095382837,6481194.57601019
2009.53858602867,5.1028991,50.2010749,850295.61516413,7013445.58344071,568052.129381454,6481171.56757791
2009.5388141172,5.1026558,50.20112,850278.096735587,7013450.14102071,568025.045349345,6481179.41095922
2009.53904258625,5.102584,50.2014889,850271.872585741,7013491.07126645,568017.052609905,6481243.5669662
2009.53927159437,5.0998734,50.191079,850109.016376735,7012327.0661427,567715.309998162,6479433.35447287
2009.53950231481,5.1123998,50.1875431,851014.783059742,7011957.33222981,569109.742467633,6478818.57472626
2009.5397292618,5.1034096,50.1846603,850380.779462822,7011619.26108377,568108.957981503,6478317.38183091
2009.539956621,5.0997541,50.1909577,850100.849411646,7012313.33610413,567702.02958291,6479412.26353438
2009.5401858828,5.0972093,50.1905504,849920.18179831,7012263.16046811,567418.743742737,6479341.4449713
2009.54041229072,5.0976431,50.1935645,849942.269367141,7012599.51791193,567467.034137845,6479865.5305531
2009.54064351852,5.098935,50.1975016,850022.941332566,7013040.25705819,567610.847788,6480550.15533193
2009.54087116312,5.0977106,50.2010672,849924.899699999,7013434.86274686,567474.548203474,6481170.22846476
2009.54109814181,5.0978454,50.2011644,849934.244142657,7013445.9392647,567489.554070833,6481187.13261015
2009.54132597666,5.0977176,50.2010972,849925.311134506,7013438.21571878,567475.327439909,6481175.44578992
2009.54155419203,5.0977719,50.2011296,849929.095234789,7013441.92567471,567481.37208826,6481181.08050476
2009.54178234399,5.0977283,50.2011966,849925.781654656,7013449.30151248,567476.518558461,6481192.73255068
2009.54201176433,5.0980846,50.2013894,849950.670195976,7013471.4410962,567516.181693031,6481226.26270839
2009.54224200913,5.0974005,50.2018252,849900.499941907,7013518.65666723,567440.028029378,6481302.05388548
2009.54246714866,5.1041214,50.2036401,850375.341817124,7013733.47548728,568188.195195049,6481617.69557956
2009.54269555429,5.1045828,50.2043732,850406.13322062,7013815.96507277,568239.558008102,6481745.19742661
2009.54292570396,5.1044116,50.2042967,850394.128154104,7013807.12278312,568220.500111277,6481731.89234083
2009.54315410959,5.1044873,50.2024855,850404.911864186,7013605.63912431,568228.926996731,6481416.88979374
2009.54338067605,5.0999525,50.2038432,850076.871728787,7013748.1538428,567724.115369882,6481653.01883882
2009.54360876459,5.0974709,50.2020967,849904.727192999,7013549.01446714,567447.864921529,6481349.27154732
2009.54383751903,5.0976444,50.2010091,849920.341310345,7013428.269207,567467.178853183,6481160.12425438
2009.54406551243,5.0977809,50.2010036,849930.111050503,7013427.91610334,567482.373963675,6481159.16774629
2009.54429486936,5.0977313,50.2010693,849926.372583928,7013435.13582751,567476.852516932,6481170.59367742
2009.54475237823,5.0978681,50.2011602,849935.87856816,7013445.5148124,567492.081023273,6481186.4021834
