longitude,latitude,date_death,days
5.465848,49.615339,07/12/2018,122
5.59427,49.64281,18/12/2018,133
5.53942,49.63948,03/12/2018,118
5.730083,49.670583,11/12/2018,126
5.515861,49.620806,11/12/2018,126
5.482611,49.625694,24/11/2018,109
5.482306,49.633917,04/12/2018,119
5.463417,49.650194,11/12/2018,126
5.476472,49.640139,11/12/2018,126
5.4764331,49.615254,13/12/2018,128
5.4767379,49.6141422,13/12/2018,128
5.476593,49.614044,13/12/2018,128
5.4735414,49.6223015,13/12/2018,128
5.780082,49.664427,06/12/2018,121
5.589438,49.63207,04/11/2018,89
5.723169,49.660135,25/11/2018,110
5.57346,49.58878,15/12/2018,130
5.474984,49.61706,14/12/2018,129
5.474833,49.617194,14/12/2018,129
5.475694,49.621499,13/12/2018,128
5.482361,49.611333,13/12/2018,128
5.482361,49.611056,13/12/2018,128
5.481712,49.615523,13/12/2018,128
5.482583,49.612194,06/12/2018,121
5.797556,49.657833,15/12/2018,130
5.472667,49.625028,18/12/2018,133
5.472917,49.627583,17/12/2018,132
5.442722,49.638111,11/12/2018,126
5.478778,49.624278,17/12/2018,132
5.477778,49.629306,17/12/2018,132
5.474889,49.625222,17/12/2018,132
5.474306,49.625611,10/12/2018,125
5.475472,49.625611,17/12/2018,132
5.474083,49.625583,17/12/2018,132
5.457472,49.625611,17/12/2018,132
5.47525,49.626861,17/12/2018,132
5.474417,49.626722,17/12/2018,132
5.535417,49.645444,29/11/2018,114
5.64505,49.625,12/11/2018,97
5.63683,49.62062,12/11/2018,97
5.483531,49.611917,21/12/2018,136
5.491528,49.616842,21/12/2018,136
5.469583,49.611306,21/12/2018,136
5.492472,49.616747,21/12/2018,136
5.58342,49.63138,24/11/2018,109
5.58419,49.63128,24/11/2018,109
5.58461,49.63131,04/11/2018,89
5.488667,49.614389,14/12/2018,129
5.47135,49.62486,27/12/2018,142
5.47623,49.62658,27/12/2018,142
5.47176,49.62483,27/12/2018,142
5.47403,49.62505,27/12/2018,142
5.52455,49.61634,27/12/2018,142
5.455312,49.589738,11/01/2019,157
5.457545,49.595314,11/01/2019,157
5.47709,49.61784,27/12/2018,142
5.79324,49.65488,05/01/2019,151
5.45275,49.66351,06/01/2019,152
5.50224,49.63645,27/12/2018,142
5.49047,49.60842,11/01/2019,157
5.448596,49.640486,02/01/2019,148
5.449127,49.640985,02/01/2019,148
5.449695,49.640667,02/01/2019,148
5.449588,49.640908,02/01/2019,148
5.449306,49.640667,02/01/2019,148
5.45675,49.650806,02/01/2019,148
5.471377,49.616724,02/01/2019,148
5.471384,49.617011,02/01/2019,148
5.472209,49.617,02/01/2019,148
5.47126,49.61637,02/01/2019,148
5.47173,49.61685,02/01/2019,148
5.47433,49.6144,02/01/2019,148
5.46816,49.6146,02/01/2019,148
5.466472,49.646472,26/12/2018,141
5.449306,49.640667,02/01/2019,148
5.541848,49.59401,02/01/2019,148
5.54277,49.594357,02/01/2019,148
5.541033,49.593551,02/01/2019,148
5.54204,49.59382,02/01/2019,148
5.541633,49.593815,02/01/2019,148
5.63235,49.59423,27/12/2018,142
5.620833,49.585556,27/12/2018,142
5.42417,49.65739,03/01/2019,149
5.47759,49.64687,03/01/2019,149
5.77506,49.662997,27/12/2018,142
5.78401,49.66343,03/01/2019,149
5.44264,49.66279,02/01/2019,148
5.48268,49.64451,03/01/2019,149
5.43141,49.63388,04/01/2019,150
5.42818,49.63431,04/01/2019,150
5.43776,49.63785,04/01/2019,150
5.42807,49.63361,04/01/2019,150
5.509025,49.606532,05/01/2019,151
5.62016,49.66391,26/11/2018,111
5.620903,49.649296,25/11/2018,110
5.61414,49.63606,25/11/2018,110
5.61529,49.63694,25/11/2018,110
5.754583,49.671028,07/01/2019,153
5.791,49.656,07/01/2019,153
5.538,49.60496,31/12/2018,146
5.5493,49.60605,20/12/2018,135
5.54217,49.60294,07/01/2019,153
5.53703,49.60474,07/01/2019,153
5.78562,49.64548,08/01/2019,154
