longitude,latitude,date_death,days,x_transformed,y_transformed
5.45675,49.650806,02/01/2019,148,877483.596524871,6952947.82346913
5.541033,49.593551,02/01/2019,148,883775.406811476,6946772.35540031
5.44264,49.66279,02/01/2019,148,876423.321368514,6954249.21951371
5.779,49.67,02/01/2019,148,900679.767585631,6955854.35050593
5.42417,49.65739,03/01/2019,149,875108.165197854,6953607.4420607
5.78401,49.66343,03/01/2019,149,901067.178125284,6955136.38803612
5.43141,49.63388,04/01/2019,150,875711.525014356,6951008.44865331
5.42818,49.63431,04/01/2019,150,875476.703880847,6951049.09519753
5.42807,49.63361,04/01/2019,150,875471.152019773,6950970.98904293
5.79324,49.65488,05/01/2019,151,901767.162617563,6954209.02257003
5.45275,49.66351,06/01/2019,152,877150.808313604,6954351.94294951
5.754583,49.671028,07/01/2019,153,898913.272487982,6955906.90302638
5.791,49.656,07/01/2019,153,901601.021037916,6954327.86404318
5.48064,49.70721,07/01/2019,153,879011.755081525,6959275.85332739
5.78562,49.64548,08/01/2019,154,901253.863401368,6953144.14355927
5.5059,49.600734,08/01/2019,154,881209.975757971,6947490.06687444
5.47748,49.70699,08/01/2019,154,878784.561271205,6959244.22158938
5.42729,49.65759,09/01/2019,155,875332.781115694,6953636.61227632
5.455312,49.589738,11/01/2019,157,877591.02216054,6946152.11552024
5.457545,49.595314,11/01/2019,157,877733.17307797,6946777.32754472
5.42192,49.67345,11/01/2019,157,874890.878596464,6955388.89398903
5.477596,49.656753,14/01/2019,160,878968.324673866,6953656.37071415
5.4515,49.663,18/01/2019,164,877062.317404645,6954292.41009772
5.50728,49.67611,19/01/2019,165,881043.43181791,6955877.16430674
5.509196,49.648891,21/01/2019,167,881277.974720336,6952853.95951882
5.49689,49.68323,21/01/2019,167,880268.398688394,6956645.37684496
5.68315,49.64004,24/01/2019,170,893874.141296829,6952282.73748852
5.51796,49.59178,26/01/2019,172,882113.547198412,6946521.92575146
5.51799,49.59158,26/01/2019,172,882116.425815488,6946499.75060747
5.49206,49.59368,29/01/2019,175,880234.261810848,6946673.82253361
5.75342,49.68131,30/01/2019,176,898789.431533185,6957047.55238547
5.46405,49.68639,31/01/2019,177,877887.245891807,6956922.40293918
5.533823,49.585341,02/02/2019,179,883283.447624471,6945842.47706322
5.72673,49.64269,02/02/2019,179,897011.641824213,6952685.33504844
5.498678,49.736983,04/02/2019,181,880208.17079801,6962628.82324407
5.580556,49.606111,04/02/2019,181,886587.154385839,6948261.97682069
5.468553,49.602386,05/02/2019,182,878504.430192539,6947588.74207519
5.602975,49.568126,06/02/2019,183,888346.888683717,6944090.59671272
5.80719,49.61043,06/02/2019,183,902950.222192175,6949301.33288866
5.506345,49.777269,07/02/2019,184,880618.643379513,6967127.90700659
5.607139,49.552972,07/02/2019,184,888703.744896567,6942415.20481168
5.611611,49.560111,07/02/2019,184,889001.039925227,6943219.850512
5.51151,49.713637,09/02/2019,186,881215.95007329,6960061.19402373
5.51053,49.71379,09/02/2019,186,881144.721511699,6960075.96476531
5.508085,49.718442,10/02/2019,187,880951.922162463,6960587.83822781
5.44624,49.59237,10/02/2019,187,876925.988949807,6946424.49336042
5.51994,49.67207,10/02/2019,187,881971.610122832,6955456.88638347
5.607833,49.557639,11/02/2019,188,888736.810219024,6942935.89457905
5.606583,49.557917,11/02/2019,188,888645.355821437,6942963.82484724
5.50421,49.70541,13/02/2019,190,880718.434146678,6959129.31482193
5.47325,49.68324,14/02/2019,191,878562.183514617,6956592.77535138
5.47775,49.68531,15/02/2019,192,878879.737635842,6956833.21781133
5.719554,49.603079,16/02/2019,193,896645.15323542,6948262.06898622
5.502286,49.71916,17/02/2019,194,880531.147482931,6960654.43388984
5.658,49.586,19/02/2019,196,892259.978017385,6946211.06066433
5.51309,49.74518,19/02/2019,196,881218.204041485,6963573.6529946
5.51322,49.74498,19/02/2019,196,881228.283498909,6963551.70301338
5.598616,49.552235,19/02/2019,196,888089.774804213,6942312.90586753
5.602778,49.560278,19/02/2019,196,888361.419440068,6943217.31668893
5.512203,49.747158,20/02/2019,197,881147.261454204,6963791.65413173
5.50135,49.73882,20/02/2019,197,880394.339252958,6962839.27476448
5.498105,49.736425,22/02/2019,199,880168.823445045,6962565.44306902
5.69867,49.642556,22/02/2019,199,894985.554335418,6952600.78188495
5.48207,49.75873,25/02/2019,202,878934.704900508,6965010.2575768
5.54768,49.67925,26/02/2019,203,883948.321797661,6956319.80492604
5.673,49.583,26/02/2019,203,893355.851864594,6945914.04533082
5.4861,49.70929,26/02/2019,203,879398.350774822,6959519.62021004
5.74515,49.68501,27/02/2019,204,898178.288460903,6957438.28779725
5.793393,49.593798,27/02/2019,204,902018.62421589,6947416.31504799
5.788434,49.589748,27/02/2019,204,901676.049404812,6946953.24317084
5.44987,49.67205,28/02/2019,205,876913.38387523,6955295.42737227
5.785511,49.603907,28/02/2019,205,901409.158610585,6948520.39915724
5.473095,49.769215,01/03/2019,206,878251.356972339,6966156.37035407
5.47585,49.73392,01/03/2019,206,878573.012550693,6962236.22857433
5.4603,49.73523,04/03/2019,209,877447.276234091,6962346.90064427
5.46032,49.73515,04/03/2019,209,877448.995630828,6962338.04617039
5.75754,49.59073,04/03/2019,209,899438.710649037,6946983.98294525
5.46933,49.7341,06/03/2019,211,878102.278535211,6962241.52664605
5.46002,49.73497,06/03/2019,211,877427.989351113,6962317.34834271
5.44594,49.67932,06/03/2019,211,876604.618394951,6956095.31219872
5.45484,49.72723,07/03/2019,212,877081.280861741,6961444.7047113
5.539711,49.579241,08/03/2019,213,883731.036428426,6945177.72085453
5.43849,49.74233,10/03/2019,215,875850.349699134,6963087.93915061
5.75827,49.59063,11/03/2019,216,899491.874958873,6946974.70595642
5.75812,49.59085,11/03/2019,216,899480.175679657,6946998.79325947
5.75827,49.59085,11/03/2019,216,899491.01997047,6946999.17220963
5.758524,49.590592,11/03/2019,216,899510.385728429,6946971.12170699
5.757849,49.590717,11/03/2019,216,899461.100459615,6946983.31770942
5.597222,49.575556,12/03/2019,217,887903.572202188,6944903.22099282
5.5151,49.7055,12/03/2019,217,881503.736015009,6959164.30380668
5.778,49.59049,13/03/2019,218,900918.808474439,6947009.1610109
5.51229,49.70188,13/03/2019,218,881313.83505566,6958755.17290584
5.44657,49.68112,14/03/2019,219,876643.886083533,6956296.94650712
5.5531,49.6829,17/03/2019,222,884326.390307635,6956738.43965166
5.47905,49.75752,17/03/2019,222,878721.289303372,6964868.81182762
5.4525,49.68437,18/03/2019,223,877060.666267676,6956671.74610011
5.4785,49.7151,18/03/2019,223,878829.818082877,6960148.67793342
5.43704,49.72582,22/03/2019,227,875802.519442243,6961248.07901137
5.4555,49.72729,22/03/2019,227,877128.667367336,6961452.8595409
5.557984,49.68792,25/03/2019,230,884660.782515549,6957308.23547468
5.78782,49.59052,26/03/2019,231,901628.627387134,6947037.52826035
5.71189,49.60185,26/03/2019,231,896095.899996445,6948106.32774039
5.5535,49.6828,28/03/2019,233,884355.618905225,6956728.25029337
5.5521,49.6822,28/03/2019,233,884256.73578013,6956658.24352433
5.5529,49.6827,28/03/2019,233,884312.675408652,6956715.72644847
5.556255,49.680091,28/03/2019,233,884564.211058546,6956433.35999969
5.67846,49.60169,29/03/2019,234,893680.124193143,6948006.02448673
5.68975,49.645722,30/03/2019,235,894329.312813312,6952930.91540124
5.70732,49.60042,31/03/2019,236,895771.029237537,6947935.9520532
5.49391,49.76931,01/04/2019,237,879750.792946844,6966214.12454703
5.610556,49.570556,01/04/2019,237,888886.299532902,6944378.9573096
5.610558,49.570558,01/04/2019,237,888886.43683344,6944379.18452336
5.610278,49.570556,01/04/2019,237,888866.192221873,6944378.29234056
5.5453,49.692,01/04/2019,237,883730.808928775,6957732.47707742
5.46042,49.71829,02/04/2019,238,877514.665083205,6960462.7372205
5.69693,49.59586,04/04/2019,240,895037.330731711,6947403.10503534
5.71155,49.60453,05/04/2019,241,896061.085258113,6948403.53721476
5.68622,49.6039,09/04/2019,245,894232.671002724,6948270.87161248
5.435111,49.722417,09/04/2019,245,875675.087892795,6960865.22814704
5.571939,49.688225,11/04/2019,247,885666.732793936,6957374.88510455
5.41199,49.74131,11/04/2019,247,873943.381771137,6962915.77328686
5.45191,49.75701,14/04/2019,250,876767.089389729,6964750.98463375
5.745278,49.684444,19/04/2019,255,898189.714865271,6957375.65689039
5.71449,49.59227,21/04/2019,257,896320.471554338,6947047.36544129
5.69318,49.5907,23/04/2019,259,894785.82281849,6946819.98613141
5.69397,49.5889,23/04/2019,259,894849.770207085,6946621.75134947
5.45074,49.75363,25/04/2019,261,876694.440847098,6964372.35523613
5.69154,49.58918,26/04/2019,262,894673.019145087,6946646.89743981
5.4534,49.75672,26/04/2019,262,876875.477034625,6964722.05988302
5.44823,49.75524,02/05/2019,268,876507.976926063,6964545.84722139
5.44826,49.755528,02/05/2019,268,876509.14542377,6964577.9531087
5.44664,49.75429,02/05/2019,268,876396.656373095,6964436.61056504
5.42654,49.7577,08/05/2019,274,874936.293202507,6964771.24505366
5.449775,49.76317,16/05/2019,282,876591.95162515,6965431.48558962
5.42983,49.755978,20/05/2019,286,875179.30076773,6964586.97158018
5.4512,49.7659,22/05/2019,288,876685.208915478,6965738.37772649
5.44823,49.76368,22/05/2019,288,876478.856389506,6965484.76740103
5.3925718,49.7287458,25/05/2019,291,872585.810496092,6961475.45725146
5.454525,49.777241,26/06/2019,323,876885.570443616,6967007.48401071
