longitude,latitude,date_death,days,x_transformed,y_transformed
5.7067,49.6596,07/08/2018,0,895500.509851248,6954516.28142892
5.60731,49.61431,12/08/2018,5,888490.782146195,6949237.41596887
5.61704,49.59913,12/08/2018,5,889249.913594379,6947572.38071305
5.623323,49.635112,19/08/2018,12,889571.096209236,6951589.37775638
5.624222,49.631891,19/08/2018,12,889647.94765557,6951233.28999845
5.73491,49.641,19/08/2018,12,897608.939667143,6952517.81654884
5.74072,49.64018,19/08/2018,12,898031.735278148,6952441.17360339
5.60689,49.64231,20/08/2018,13,888357.578787528,6952350.6367328
5.586308,49.638024,24/08/2018,17,886886.605599189,6951825.02485737
5.582,49.626,24/08/2018,17,886619.166488132,6950477.48129216
5.70038,49.65803,26/08/2018,19,895050.178743377,6954326.03408059
5.70971,49.66013,26/08/2018,19,895715.80826614,6954582.68528452
5.71085,49.66133,26/08/2018,19,895793.531571244,6954718.97725379
5.70027,49.65804,26/08/2018,19,895042.198421166,6954326.87458464
5.57982,49.63549,29/08/2018,22,886427.161285274,6951527.84534524
5.58895,49.61245,03/09/2018,27,887170.741482214,6948986.87177835
5.608578,49.616118,04/09/2018,28,888575.771130557,6949441.53022307
5.6142,49.5991,14/09/2018,38,889044.72602536,6947562.24121036
5.6172,49.6094,14/09/2018,38,889223.607207438,6948714.98044194
5.626174,49.621481,20/09/2018,44,889827.484606048,6950080.16777454
5.62982,49.65994,23/09/2018,47,889948.416658984,6954366.45561095
5.62794,49.66301,26/09/2018,50,889801.308540137,6954703.39715839
5.74248,49.646762,29/09/2018,53,898133.418748135,6953177.62403615
5.54901,49.61507,30/09/2018,54,884274.839810092,6949184.33340154
5.63149,49.66486,01/10/2018,55,890050.750275275,6954917.70352549
5.54671,49.66907,02/10/2018,56,883914.842647687,6955185.2149498
5.65022,49.6312,03/10/2018,57,891528.656105892,6951219.18636398
5.54342,49.66264,03/10/2018,57,883700.377325537,6954462.34816447
5.54791,49.66352,03/10/2018,57,884021.398928093,6954570.68493565
5.7467,49.6696,04/10/2018,58,898349.784053033,6955728.24992217
5.54462,49.64203,04/10/2018,58,883860.918388858,6952172.72737046
5.54479,49.64165,04/10/2018,58,883874.560066274,6952130.85702147
5.62975,49.65928,05/10/2018,59,889945.808211639,6954292.87859045
5.53821,49.66509,11/10/2018,65,883315.448166872,6954722.75332468
5.5384,49.66506,11/10/2018,65,883329.272991186,6954719.8575324
5.739949,49.658352,11/10/2018,65,897905.890905903,6954460.30455211
5.54228,49.6383,11/10/2018,65,883705.262671936,6951752.40553015
5.53072,49.64062,18/10/2018,72,882861.950103527,6951983.6194956
5.548449,49.620294,18/10/2018,72,884215.538836681,6949764.05638239
5.551849,49.620606,18/10/2018,72,884460.101673488,6949806.69552626
5.546449,49.620294,18/10/2018,72,884071.018268574,6949759.39231136
5.54738,49.66779,21/10/2018,75,883967.805702646,6955044.40109458
5.54028,49.6458,22/10/2018,76,883533.946284617,6952581.95744282
5.53054,49.64082,27/10/2018,81,882848.235163773,6952005.44813386
5.67133,49.64265,29/10/2018,83,893010.575693746,6952544.06662516
5.736617,49.661524,31/10/2018,85,897653.086115377,6954804.74878802
5.54011,49.65442,04/11/2018,89,883490.814673993,6953540.34868517
5.54211,49.59421,05/11/2018,90,883850.911440394,6946848.15706326
5.65003,49.63703,05/11/2018,90,891493.160659462,6951867.14381537
5.54677,49.604596,08/11/2018,93,884150.546270237,6948014.16195583
5.526347,49.653003,09/11/2018,94,882501.996605209,6953350.84143935
5.53127,49.6543,09/11/2018,94,882852.883660715,6953506.49478102
5.526472,49.663083,09/11/2018,94,882475.137585473,6954472.3262629
5.53597,49.65332,09/11/2018,94,883195.785774459,6953408.38443835
5.53698,49.65304,09/11/2018,94,883269.722971078,6953379.58411869
5.53564,49.631773,12/11/2018,97,883248.941622772,6951011.00318662
5.48655,49.62829,15/11/2018,100,879714.629342236,6950510.7750313
5.48419,49.63596,15/11/2018,100,879517.268994917,6951358.52754518
5.52423,49.62728,16/11/2018,101,882440.611234535,6950484.84414124
5.744832,49.662025,19/11/2018,104,898244.240900444,6954881.06402976
5.59167,49.595,20/11/2018,105,887431.038514241,6947052.53642577
5.501949,49.636562,21/11/2018,106,880798.053365316,6951466.005311
5.5375,49.59909,22/11/2018,107,883500.173218725,6947380.19370692
5.53929,49.59901,22/11/2018,107,883629.859300536,6947375.45720722
5.538464,49.598843,22/11/2018,107,883570.744652202,6947354.96261097
5.482611,49.625694,24/11/2018,109,879439.114543653,6950213.06996628
5.502236,49.636574,26/11/2018,111,880818.743560649,6951467.9972212
5.49778,49.63635,27/11/2018,112,880497.636126181,6951432.88723089
5.4796,49.63877,27/11/2018,112,879175.868677766,6951660.65607501
5.59598,49.59315,27/11/2018,112,887749.394769212,6946857.02138876
5.59607,49.59293,27/11/2018,112,887756.706236999,6946832.76736408
5.59598,49.59325,27/11/2018,112,887749.028994724,6946868.14321929
5.4666,49.64782,28/11/2018,113,878205.340033556,6952637.87098494
5.482306,49.633917,04/12/2018,119,879388.314670191,6951127.00562665
5.4663,49.64778,05/12/2018,120,878183.811886466,6952632.74473063
5.780082,49.664427,06/12/2018,121,900779.701236827,6955237.27781931
5.482583,49.612194,06/12/2018,121,879484.31609891,6948711.44576244
5.465848,49.615339,07/12/2018,122,878263.8862313,6949023.34297112
5.474306,49.625611,10/12/2018,125,878839.328743093,6950184.99681777
5.730083,49.670583,11/12/2018,126,897146.504571459,6955795.96604472
5.515861,49.620806,11/12/2018,126,881858.890998024,6949745.46352832
5.463417,49.650194,11/12/2018,126,877967.210602035,6952894.75544962
5.442722,49.638111,11/12/2018,126,876514.189653424,6951504.29608555
5.4764331,49.615254,13/12/2018,128,879029.162544737,6949037.83667397
5.4767379,49.6141422,13/12/2018,128,879055.070314468,6948914.86623811
5.476593,49.614044,13/12/2018,128,879044.940930357,6948903.61524464
5.4735414,49.6223015,13/12/2018,128,878795.617580005,6949815.15713934
5.475694,49.621499,13/12/2018,128,878953.963011525,6949730.77343557
5.482361,49.611333,13/12/2018,128,879471.282953694,6948615.175753
5.482361,49.611056,13/12/2018,128,879472.251839022,6948584.36622487
5.481712,49.615523,13/12/2018,128,879409.724690437,6949079.73798658
5.57346,49.58878,15/12/2018,130,886137.102831928,6946317.68036113
5.797556,49.657833,15/12/2018,130,902067.154077558,6954548.48224571
5.5493,49.60605,20/12/2018,135,884328.197853401,6948181.7819314
5.743662,49.648156,23/12/2018,138,898213.390061288,6953335.62870372
5.52581,49.59806,24/12/2018,139,882658.761615596,6947238.53111762
5.52455,49.61634,27/12/2018,142,882502.64791572,6949268.77985875
5.620833,49.585556,27/12/2018,142,889574.227139966,6946071.81790195
5.77506,49.662997,27/12/2018,142,900422.749636542,6955065.47701665
5.538,49.60496,31/12/2018,146,883515.326640847,6948034.22936363
5.64373,49.67009,01/01/2019,147,890914.93122395,6955528.94152272
5.448596,49.640486,02/01/2019,148,876930.321907968,6951781.61587662
5.449127,49.640985,02/01/2019,148,876966.956440436,6951838.31006248
5.449695,49.640667,02/01/2019,148,877009.083039136,6951804.21174246
5.449588,49.640908,02/01/2019,148,877000.522088384,6951830.77854637
5.449306,49.640667,02/01/2019,148,876980.983848585,6951803.3397957
