time,longitude,latitude,x_lambert93,y_lambert93,x_openStreetMap,y_openStreetMap
2009.42293455099,5.083092,50.1727833,848963.422703297,7010258.60697178,565847.213095363,6476252.80973067
2009.42294653729,5.0831976,50.1727253,848971.142859851,7010252.34968706,565858.96843359,6476242.72888317
2009.42306072425,5.0863344,50.1732234,849193.940419771,7010313.72002913,566208.155412309,6476329.30290493
2009.42317484779,5.0886095,50.1747769,849352.019791346,7010490.955134,566461.418385814,6476599.32023116
2009.42328938356,5.08956,50.175736,849417.146178309,7010599.51957903,566567.227561814,6476766.02794082
2009.42340338026,5.0895347,50.1758499,849415.001884039,7010612.15096968,566564.411178695,6476785.82589864
2009.42351737697,5.0856445,50.1764237,849135.205097145,7010668.6717818,566131.356095613,6476885.56382624
2009.42363229325,5.0855949,50.176472,849131.517199626,7010673.95483646,566125.834648869,6476893.95938788
2009.42374581431,5.0856178,50.1764375,849133.255757359,7010670.15756342,566128.383865208,6476887.96255728
2009.42385962075,5.0854741,50.1766216,849122.441408633,7010690.38009711,566112.387254382,6476919.96308605
2009.42397456875,5.085445,50.1764663,849120.817778721,7010673.03721854,566109.147857198,6476892.96860688
2009.42408907281,5.0855658,50.1764549,849129.487162143,7010671.99631381,566122.595251686,6476890.98704522
2009.42420417935,5.0856237,50.1766,849133.199637713,7010688.25812838,566129.040650203,6476916.20853637
2009.42431678082,5.0855289,50.17649,849126.745999031,7010675.83393964,566118.487562476,6476897.08817078
2009.42443153856,5.0862013,50.1768583,849173.731646448,7010718.10300327,566193.338788086,6476961.10680425
2009.42454505961,5.0891531,50.1768661,849384.727779718,7010724.55169882,566521.931661009,6476962.46262099
2009.42465845383,5.0905283,50.177264,849481.86542315,7010771.44821573,566675.01822475,6477031.62695082
2009.42477349696,5.0930302,50.1773053,849660.598386993,7010780.7848227,566953.528458765,6477038.80589013
2009.42488847666,5.0930239,50.1772421,849660.334543132,7010773.73749889,566952.827145971,6477027.82020344
2009.42500247336,5.0929846,50.177252,849657.49586176,7010774.7650745,566948.452289983,6477029.54106162
2009.42511767504,5.0931123,50.177394,849666.20571367,7010790.81446047,566962.667788958,6477054.22411732
2009.42523094242,5.0930413,50.1773787,849661.175265016,7010788.97670232,566954.764105112,6477051.56460145
2009.42534306824,5.093001,50.1773169,849658.476715594,7010782.02078379,566950.277929633,6477040.82225192
2009.42545912608,5.0930707,50.1772908,849663.536427727,7010779.24745398,566958.036898141,6477036.28543857
2009.42557267884,5.0929961,50.1772491,849658.326528061,7010774.46404438,566949.732464128,6477029.03697181
2009.42568531202,5.0929961,50.1772721,849658.258647106,7010777.02438951,566949.732464128,6477033.03492632
2009.42580076738,5.0952848,50.1766849,849823.607113088,7010715.99790422,567204.509382707,6476930.96601227
2009.42591454211,5.0950935,50.1774751,849807.596902931,7010803.59941772,567183.213964117,6477068.32130388
2009.42602787291,5.0957557,50.1781491,849852.943913836,7010879.88517166,567256.929730922,6477185.48010569
2009.42614339168,5.0960916,50.1783082,849876.485896102,7010898.23359858,567294.321947878,6477213.13608179
2009.42625719812,5.0961802,50.1783033,849882.834042438,7010897.85630635,567304.184854762,6477212.28432503
2009.4263727169,5.0961142,50.17835,849877.977930339,7010902.92964595,567296.837768369,6477220.40209205
2009.42648747463,5.09606,50.1782312,849874.454523873,7010889.60202708,567290.80425197,6477199.7513427
2009.42659890284,5.0960699,50.1782575,849875.084502248,7010892.54851758,567291.906314928,6477204.3230109
2009.42671394597,5.0960609,50.1783029,849874.306939829,7010897.5853354,567290.904439513,6477212.21479386
2009.42682749873,5.0976674,50.1785508,849988.415967059,7010928.23177982,567469.73920147,6477255.30684238
2009.42694193937,5.095248,50.1767257,849820.855797655,7010720.46990325,567200.412825446,6476938.05795348
2009.42705650685,5.092032,50.1770042,849590.127769711,7010745.37508345,566842.409343055,6476986.4675669
2009.42717161339,5.0884462,50.1782899,849329.999744491,7010881.71138408,566443.239912968,6477209.95503145
2009.42728738584,5.0853111,50.179198,849103.212814351,7010976.87644785,566094.242177381,6477367.80960589
2009.42740230213,5.0863803,50.1822385,849170.69935583,7011317.36471134,566213.264976937,6477896.36006275
2009.42751534754,5.0848469,50.1815834,849063.01669125,7011241.54301961,566042.567669755,6477782.47680355
2009.42762706114,5.085079,50.1814994,849079.854567431,7011232.63029192,566068.404923568,6477767.87426995
2009.42774121639,5.0852327,50.1813128,849091.390001918,7011212.14812606,566085.514729304,6477735.43587646
2009.42785708397,5.0844068,50.1811124,849032.941985864,7011188.28044877,565993.575961856,6477700.59864322
2009.42797025622,5.0858585,50.1798201,849140.513943984,7011047.16236974,566155.178466641,6477475.95067352
2009.42808431634,5.0865208,50.1800715,849187.118215437,7011076.3993346,566228.905365395,6477519.65251077
2009.42819897894,5.0864548,50.180124,849182.245823807,7011082.11894086,566221.558279002,6477528.77881847
2009.42831408549,5.0865043,50.1800238,849186.079076231,7011071.05819623,566227.068593796,6477511.36061705
2009.42842595764,5.0865657,50.180023,849190.470538264,7011071.08514674,566233.903610532,6477511.22154972
2009.42854322045,5.0862078,50.1768394,849174.251920045,7010716.01134349,566194.062364778,6476957.8215569
2009.42865325342,5.0856048,50.1765213,849132.079952009,7010679.46158619,566126.936711827,6476902.52877942
2009.42876820142,5.0854527,50.1765637,849121.081818156,7010683.89428177,566110.005017279,6476909.89881086
2009.42888242009,5.085703,50.1763184,849139.696894002,7010657.06032865,566137.868285823,6476867.26048838
2009.42899790715,5.0930897,50.1772832,849664.917122276,7010778.43743919,566960.151968466,6477034.96437461
