time,longitude,latitude,x_lambert93,y_lambert93,x_openStreetMap,y_openStreetMap
2011.50285448376,5.1893975,50.4291751,855771.827732711,7039009.47338006,577681.087223887,6520935.84526832
2011.50296936834,5.1947296,50.4299142,856148.811673615,7039102.30663408,578274.653880745,6521065.00194262
2011.50308368214,5.1950672,50.4302846,856171.677899369,7039144.2197905,578312.235340836,6521129.72957442
2011.50319802765,5.1949946,50.4302432,856166.642166176,7039139.46615062,578304.153545805,6521122.49487337
2011.50331221461,5.195303,50.4307094,856187.134502134,7039191.98935554,578338.484476768,6521203.96426363
2011.50342636986,5.1958687,50.4308743,856226.860679228,7039211.47072697,578401.457912707,6521232.78106326
2011.5035401446,5.1959388,50.4308712,856231.856317239,7039211.26422421,578409.261409014,6521232.23932747
2011.50365449011,5.1958394,50.4308744,856224.776334588,7039211.42389285,578398.196251629,6521232.79853861
2011.50376788432,5.1956088,50.4310947,856207.692052634,7039235.49898046,578372.525977051,6521271.29682118
2011.50388261035,5.1956049,50.4310969,856207.407843124,7039235.73624424,578372.091831038,6521271.68128065
2011.50399565576,5.1955935,50.4310827,856206.640971678,7039234.13246442,578370.822788842,6521269.19976985
2011.5041100964,5.195266,50.430452,856185.299839744,7039163.25364926,578334.365655606,6521158.98299531
2011.50422526636,5.1952877,50.4306495,856186.231735866,7039185.28898652,578336.781288558,6521193.49657291
2011.50433815322,5.1952252,50.4306482,856181.790273679,7039185.02060426,578329.823820383,6521193.26939446
2011.50445265728,5.1940658,50.4305028,856099.774677684,7039166.53712492,578200.760002758,6521167.86039797
2011.50456754186,5.1971975,50.4287876,856327.842178653,7038981.73854551,578549.379252075,6520868.13099975
2011.50468207763,5.1957361,50.4267007,856230.355853245,7038746.46255718,578386.696948228,6520503.46205805
2011.50479483765,5.1956558,50.4268303,856224.242456789,7038760.73508304,578377.75799312,6520526.10814464
2011.5049119102,5.195694,50.4266339,856227.568030409,7038738.94085598,578382.010397667,6520491.78956231
2011.5050236238,5.1957896,50.4266329,856234.37148589,7038739.01865172,578392.652540988,6520491.61482448
2011.50513895231,5.1956176,50.4266827,856221.982297264,7038744.2237457,578373.505588569,6520500.31677315
2011.50525218798,5.1956125,50.4268368,856221.142259196,7038761.37321361,578372.937859167,6520527.24394537
2011.50536761162,5.1956634,50.4267525,856225.024026236,7038752.08682515,578378.604021248,6520512.51349572
2011.50548116438,5.1958278,50.4268242,856236.496257127,7038760.39613612,578396.904945535,6520525.04223948
2011.50559535134,5.1957297,50.4267505,856229.746357659,7038751.99529304,578385.984503488,6520512.16401918
2011.50570928463,5.1958367,50.4266414,856237.695543798,7038740.05834793,578397.895689002,6520493.1000962
