CS_null_raster,CS_forest_motorways_k10,CS_barriers_k10,CS_barriers_k100
0.8625151354,0.1736804703,0.898745187,1.098574583
0.8722699149,0.4391533321,0.8982652925,0.965550259
0.824171384,0.4068434467,0.8837647925,1.166536425
0.8268466988,0.1223143526,0.8317816408,0.8455360743
0.7181614429,0.3420829205,0.7278008345,0.7437532265
0.7329247699,0.08012516224,0.734783893,0.7398962669
0.8415680631,0.173410019,0.8846452469,1.103616271
0.8670407415,0.1455953712,1.899085127,10.5870998
0.8772604966,0.176910564,0.9297418954,1.176199925
0.483205376,0.04552249989,0.4832748045,0.4834343252
0.3773245239,0.03446390349,0.3773390892,0.3773729556
0.4399324551,0.04035935761,0.4399702951,0.4400582362
0.4686884568,0.04362813388,0.4687444707,0.4688715544
0.8754411047,0.1123939458,0.8831234326,0.9082539424
0.8807963396,0.16513794,0.8885661468,0.9141365479
0.8595802126,0.1999874642,0.8715654653,0.9040447218
0.8742788766,0.1206700775,0.8827855101,0.910509295
0.8585728133,0.1703155628,0.895874479,1.099435834
0.8375924917,0.10126314,0.8428932145,0.8593755625
0.8025306668,0.1832681568,1.036593086,1.431083756
0.8065964209,0.09628056802,0.8107426066,0.8231521704
0.7191310555,0.08467350914,0.7208936958,0.7256467839
0.9101921806,0.1256163718,0.9223129554,0.963369834
0.8001131762,0.145189382,0.8052802441,0.8200630613
0.9006400289,0.1179217056,0.9103711211,0.942959363
0.7912171122,0.1688766205,0.7969963596,0.8117738581
0.9026423158,0.1503261274,1.018797564,1.444622316
0.8982356583,0.1856515048,0.9273099072,1.101924259
0.7228029045,0.07958533608,0.7285950742,0.7395018972
0.9035213374,0.1359187518,0.9164019817,0.9594319863
0.9043420302,0.3957769766,0.9496062497,1.119056761
0.8026196714,0.1086178992,0.8060989079,0.8157414812
0.9073934462,0.1546676481,0.9625105049,1.306659572
0.9073422551,0.1481440085,0.9685792815,1.341718736
0.6912940538,0.07322621188,0.6923412052,0.6949737083
0.9063824339,0.1455707528,0.9592182694,1.312969226
0.9153162695,0.4702928493,0.9418542807,1.092437408
0.9072123867,0.1826664055,0.9361829947,1.110706945
0.9057714547,0.1344678945,0.9187845209,0.9624259048
0.9091089145,0.2100327151,0.9375732396,1.108344783
0.9000766095,0.1845981501,0.9117808771,0.9495791004
0.906022673,0.2031599456,0.9348315851,1.107058138
0.9152209113,0.1884539574,0.941575117,1.070408899
0.7266424875,0.0870200076,0.7283446538,0.7325758884
0.6785107905,0.1617102466,0.6800010728,0.6834384432
0.9063792108,0.1234398698,0.9175441066,0.9551509488
0.9253839535,0.1517225029,0.9775757186,1.301317695
0.7842772373,0.08838983838,0.7872521043,0.7957546483
0.9162102165,0.1549820129,1.024036559,1.33295921
0.9169815634,0.2137416175,0.9382131947,1.000924366
0.9131264548,0.1512645831,0.9662291739,1.300222005
0.9154471556,0.1776711313,0.9429036527,1.110921495
0.9086890695,0.1522786028,0.9732561605,1.322945601
0.9076877676,0.1894506871,0.9358033755,1.10661778
0.9131169491,0.1464814746,0.978976609,1.348576988
0.9473835877,0.4123742438,0.9859033269,1.141980297
0.9467279083,0.260090614,1.000692363,1.228839449
0.9234530293,0.2075076568,0.9384720771,0.9875975421
0.7115066954,0.08079752036,0.7130792231,0.7173058509
0.8933329816,0.1459361529,0.9552175528,1.333538653
0.9361502835,0.3357033587,0.9523189325,1.00850025
0.9257039384,0.1446279177,0.941066074,0.9940094601
0.924229754,0.1475629746,1.008868849,1.394505507
0.9248665468,0.1859390465,0.9514854565,1.115178513
0.9512868632,0.2848869136,0.9760610032,1.115235363
0.9357805717,0.3568047592,0.9555629925,1.066134144
0.9376121337,0.1549611689,0.9754810428,1.163877594
0.9496666387,0.1539226383,1.049392677,1.478180647
0.8921162231,0.1165551101,0.9006357383,0.9290818283
0.8925046236,0.1446048767,0.948964854,1.313489269
0.8927404652,0.3375557199,0.9281273152,1.103944968
0.9551601745,0.1819372911,0.9841810026,1.148801358
0.9474457413,0.2293496643,0.973210681,1.130605036
0.9572111833,0.263874737,1.002623383,1.197448331
0.7953826279,0.1351586775,0.8008387785,0.8150921215
0.9528012798,0.1812021529,1.105046648,1.421799681
0.961294829,0.1537394601,0.9985834684,1.196637348
