CS_null_raster,CS_forest_motorways_k10,CS_barriers_k100
0.8618756112,0.4004247854,0.8991978548
0.8706318021,0.1948800885,1.096282166
0.8254538438,0.09987509037,0.8433274926
0.8263901495,0.1235108309,0.8454382928
0.7163295086,0.3450318398,0.7305425273
0.7305155032,0.08080378916,0.7670262793
0.8404188036,0.2097261938,0.8930797327
0.8668609474,0.4042758433,13.89879753
0.8771939032,0.156950594,1.402870859
0.4933083909,0.04543740651,0.4935862512
0.3103495124,0.02827112006,0.3103713323
0.439932541,0.04030307157,0.4400601029
0.4838310858,0.04442461963,0.484074016
0.8742047981,0.2052642607,1.10281526
0.8812735726,0.115622732,0.9141860335
0.8601123262,0.111439871,0.8857478701
0.8733200003,0.4573480931,1.169961242
0.8588227557,0.14559709,1.291220931
0.8352224994,0.4172868154,1.1136355
0.8006618145,0.1206267408,0.8785715396
0.805592689,0.1282670632,0.8209395694
0.7218798672,0.07970236837,0.7282037404
0.9096400809,0.185987246,1.111524744
0.800255569,0.1845259098,1.238495962
0.9014403479,0.4394684425,0.9921950814
0.7935146957,0.09258682812,0.8073600751
0.9030545407,0.3563341026,0.9468514293
0.8984383183,0.1459388783,1.3244814
0.7242708012,0.08555201513,0.7297667756
0.9038753459,0.1243302637,0.9531410071
0.9045854092,0.4069812673,0.9831202892
0.8024423276,0.1404714118,0.819725552
0.907174062,0.4272566618,1.133088297
0.9072757934,0.1456193433,1.316115282
0.6905232316,0.07791590651,0.6941717444
0.9070037261,0.1472776326,1.326864775
0.914943525,0.1501228892,1.329802228
0.9083199972,0.121538463,0.9558252181
0.9051997204,0.2426437467,1.190786543
0.9092425589,0.1713124311,10.79002566
0.8999307909,0.1827908783,1.115156474
0.9058170043,0.4358035979,0.9752378964
0.9157692309,0.1237568679,0.968943755
0.7254739771,0.07932146579,0.7464424436
0.6729468625,0.08572835618,0.6780267076
0.9044421503,0.2029863709,1.106333927
0.9252704139,0.1488025091,1.231208687
0.7839504645,0.09596129192,0.7974219325
0.9166590685,0.280272186,1.485747474
0.9163774032,0.2778952652,1.188379607
0.9126527755,0.1635192662,1.444885648
0.9153851041,0.3791171476,1.110333735
0.9096717775,0.41966883,1.09139324
0.9082527823,0.1725204306,11.48547531
0.9142238462,0.4728253175,1.093779053
0.9476630067,0.471230415,1.070742918
0.9486903106,0.2388865822,1.110486041
0.9222524364,0.2120901955,1.119589074
0.7094579389,0.07536192262,0.7140350979
0.8932070793,0.4455999184,0.999367597
0.9359932821,0.2503842265,1.061284851
0.9249669068,0.1987433426,1.121316745
0.9248643581,0.1480083773,1.376824454
0.9258311774,0.1293823505,0.9883138627
0.9504116729,0.1883573254,1.52325416
0.9355685352,0.3732464014,1.007706209
0.9383575702,0.4282159826,1.111552137
0.94971196,0.1878331788,1.105534948
0.8919253287,0.4331812101,0.9443222021
0.8911745751,0.4126929474,1.101158364
0.892042693,0.1485850103,1.434037317
0.9566310861,0.2195305696,1.075837101
0.9494982083,0.464560489,1.071272829
0.9570044112,0.1830965025,1.097877064
0.7971414672,0.09139760296,0.8103540057
0.9534126336,0.1604362639,1.465050345
0.9614584717,0.1829106198,1.102742322
0.9546911033,0.1688592293,1.242329976
0.6741141407,0.06895144883,0.6836274535
0.9304768939,0.1869471973,1.126857278
0.9593510839,0.4617050854,1.078695088
0.9699103819,0.1599333929,1.180846363
0.9552020904,0.1517647801,1.190205641
0.9581206597,0.1989058174,1.088959884
0.9553057597,0.4648639656,1.136751487
0.9559492217,0.2025240062,1.080901523
0.9565260667,0.4864549451,1.1294762
