CS_null_raster,CS_forest_motorways_k10,CS_barriers_k10,CS_barriers_k100
0.8616207619,0.1727293444,0.8981042139,1.09889586
0.8700748703,0.4396931294,0.9041957146,1.095639067
0.8266805677,0.1024160163,0.8321252448,0.8488120743
0.8273804716,0.1686255609,0.8766944391,1.115563821
0.7173273571,0.3387758168,0.7270100423,0.7429842021
0.7320543887,0.08968103539,0.7339601682,0.7387146253
0.8415130708,0.1697078385,0.8842981421,1.107187388
0.8669508397,0.1987481919,0.8925148222,0.9536168818
0.8776221702,0.1468526081,1.912682067,10.64942546
0.4863164429,0.04510835405,0.4863888398,0.4865539519
0.3773242636,0.03445005206,0.3773393901,0.377373979
0.4399330505,0.04023645069,0.4399749153,0.4400670703
0.4838311105,0.04517412635,0.4839093778,0.4840916628
0.8742627692,0.1594689772,0.9347742364,1.200422911
0.8792366516,0.2265797767,0.9113596779,1.096440426
0.8598489042,0.1447688885,0.8692283571,0.8985130498
0.8730775503,0.1108297052,0.8801081958,0.9028684595
0.8591269266,0.1455089476,1.006424402,1.345820055
0.8362975949,0.2039420032,0.8907591805,1.183810801
0.8010658496,0.3785596268,1.758861424,9.826990782
0.8052098428,0.2477079973,0.8205753085,0.8530939372
0.7214593538,0.08274539366,0.7232209401,0.728001309
0.910099737,0.1819437702,0.9244823599,0.9706192129
0.8001969796,0.1109708345,0.8051990112,0.8196134911
0.9012653281,0.1517815629,1.940024686,10.67606503
0.7931136742,0.09086253238,0.7964503989,0.8061763299
0.9033148639,0.1183966729,0.9130560501,0.9458254162
0.9000704206,0.4286792886,1.018429732,1.521756469
0.7242887399,0.09290792723,0.7281151813,0.736677244
0.9033255151,0.1458876388,0.9598548477,1.323318189
0.9042191673,0.4539122772,0.9325901395,1.094075876
0.8021895721,0.1024015236,0.8056321887,0.8152571364
0.9075022668,0.2502332306,0.9463276273,1.102095866
0.9073761392,0.129795088,0.9174595122,0.951813127
0.6906287558,0.07445755128,0.6934544971,0.6992100881
0.9053163871,0.1742114648,0.9338142689,1.106353563
0.9142647274,0.1462701503,0.9733230141,1.333430805
0.9082215076,0.1196070598,0.9187217565,0.953986311
0.904845274,0.1463161135,0.9591635236,1.318904242
0.909415362,0.3833547406,0.9828151185,1.40015515
0.8996391858,0.2167197565,0.930834834,1.102170747
0.9059287663,0.1469770152,0.9675145918,1.343239904
0.9156526128,0.4168611839,0.972195296,1.128484217
0.7258647873,0.1029463179,0.736197232,0.7530258589
0.6766942056,0.09384518373,0.6777340014,0.6802423401
0.905207551,0.2046586135,0.9339818103,1.106238356
0.9260363859,0.1873335516,0.9470901403,1.062546252
0.7820596802,0.08964659072,0.7851390166,0.7940478173
0.9167278966,0.1541781276,1.005872179,1.320167222
0.9167922946,0.364598133,0.9810991083,1.376708978
0.9127399568,0.1524394957,0.9674866616,1.306454625
0.9162729156,0.2186534314,0.9387949336,1.003958797
0.9089807005,0.1592831246,0.9863411601,1.364841695
0.9072186548,0.4033678608,0.9422734279,1.129385724
0.9139986701,0.1619755602,1.048890882,1.489972199
0.9470510181,0.1722195084,1.006860088,1.245069931
0.9469775491,0.1504098813,0.9891245715,1.198338412
0.9228494751,0.1233528959,0.9354032158,0.9771953248
0.7102386684,0.07707516486,0.711543714,0.7148146336
0.8926368892,0.2136042731,1.027116837,1.486133547
0.9360185457,0.2294803363,0.9664219304,1.129452498
0.9253005465,0.161063339,0.9835025153,1.349529595
0.9247006899,0.1875849719,0.9540392685,1.128217469
0.9250800409,0.1240771468,0.9382181267,0.9818967856
