CS_null_raster,CS_forest_motorways_k10,CS_barriers_k100
0.934039649,0.1713717671,1.319071238
0.9673822668,0.2480243157,1.164124676
0.8976753266,0.1173171764,0.937422254
0.9731118725,0.1991589053,1.167394221
0.9680481995,0.4719522882,1.143823436
0.9586043683,0.4389178774,1.077384751
0.9808096608,0.3817763356,1.173955539
0.9734259447,0.1563996303,1.290014131
0.8957739292,0.1241150869,0.9411246114
0.8759044239,0.149100284,1.362143597
0.8223304331,0.1108619766,0.8474713618
0.8977237011,0.1432149056,0.9512124944
0.8988721369,0.1343976422,0.9508730224
0.8986534819,0.1174015954,0.9390145957
0.894028564,0.1454177811,1.321009703
0.8283655285,0.1553840748,1.166813575
0.667969521,0.07596834798,0.6747932505
0.8241376667,0.09911609613,0.8418203554
0.9766211673,0.2071336061,1.115891746
0.906144551,0.1209662557,0.9495781815
0.9057413445,0.4149868167,1.098868197
0.9067917897,0.4002074451,1.09105541
0.9073766786,0.1297950751,0.9518131397
0.9694191392,0.2973618823,1.240241749
0.8342282583,0.2161984764,1.021043751
0.8132156215,0.1613099567,0.8732572155
0.8193919632,0.3776816317,1.149769591
0.9806126766,0.1847565394,1.161198319
0.8839092477,0.4480472797,0.9823152555
0.9972393931,0.438151309,1.237893887
0.9862079267,0.193428324,1.106101127
0.7549698223,0.3061822823,0.7762062042
0.8414327087,0.214312468,1.108409857
0.8452796108,0.1312879404,0.8698042409
0.8499824156,0.1708373969,0.8730110704
0.9850596011,0.1943890196,1.116490233
0.848694614,0.4778946665,1.317065832
0.9883244606,0.209987151,1.116109341
0.9869206369,0.1915121121,1.10744346
0.9894841164,0.4975318684,1.108439724
0.9883056758,0.2745303417,1.221716528
0.9958486289,0.1632934264,1.243723169
0.9876532759,0.2900335289,1.189867825
0.9945535392,0.1579760604,1.380946798
0.9895909264,0.1866774024,1.428615021
0.9885739986,0.2108078381,1.188499393
1.006494611,0.495209963,1.122152118
0.9935517863,0.4027201297,1.107766391
