CS_null_raster,CS_forest_motorways_k10,CS_barriers_k10,CS_barriers_k100
0.8628821952,0.216444923,0.9003674458,1.10887697
0.8712360161,0.200116736,0.9020166721,0.9693498553
0.8256652717,0.09928782411,0.8301456639,0.8436813231
0.8284603452,0.1172331603,0.8355879348,0.8567181721
0.7181615494,0.08602501569,0.7199305428,0.7246831244
0.7341087182,0.07862980396,0.7358991674,0.7407831511
0.8413973584,0.2539213154,1.951434343,11.29315488
0.8668403387,0.4524128603,0.9421149301,1.2947457
0.8776308289,0.2572963477,0.9267041256,1.009563058
0.4933083908,0.04543740871,0.4933895471,0.4935862522
0.4170626094,0.03808842751,0.4170888186,0.4171512988
0.4399330504,0.04023645002,0.4399749155,0.4400670714
0.483205096,0.04435980512,0.4832868422,0.4834662852
0.8733035877,0.4440458745,0.9075624028,1.099390107
0.8805356071,0.1175409136,0.8883119829,0.9134871185
0.8602712205,0.4067444496,0.8723861121,0.9085643326
0.8727759686,0.1525472308,0.9563621967,1.373813739
0.8594478898,0.1454535027,1.085573218,1.469885652
0.8360503075,0.105241345,0.8409302664,0.8557647977
0.8017392911,0.1379879803,0.8061136014,0.8178510567
0.8049142945,0.1366502721,0.8093675208,0.8213642793
0.719135196,0.3488921732,0.7240872139,0.7337149479
0.9097388125,0.214509043,0.9392661071,1.077898214
0.7977815731,0.1257669562,0.8197504633,0.8612015599
0.9012344597,0.1318039331,0.9133850257,0.9540077392
0.7927577377,0.1478403408,0.796222553,0.80545303
0.903327702,0.1259763405,0.9129439815,0.9455356437
0.8996014366,0.1723268967,0.9098302923,0.9440783827
0.7224507411,0.07979884164,0.7239550477,0.7277434356
0.9032403716,0.1792441929,0.9325831292,1.108573905
0.9033412884,0.1756425862,0.932318883,1.106861689
0.8019642426,0.09931707948,0.8062870651,0.8190985078
0.9069878537,0.1891218295,0.9473771659,1.144873251
0.9076040588,0.4297429956,0.936615584,1.099145918
0.6891238737,0.07447675844,0.6901478927,0.6926771379
0.9064877642,0.1205927071,0.916418393,0.9501057449
0.9156315517,0.1593937072,1.004068757,1.419846949
0.907599983,0.4735665141,0.953626282,1.168628068
0.9056956034,0.156739517,0.9625401031,1.312486311
0.908601262,0.2589693449,1.97119877,10.64903813
0.9003126278,0.1450304014,0.9540043845,1.311105456
0.9065104398,0.1195934011,0.9164998576,0.9502701659
0.9145857701,0.3896483385,0.9409951587,1.072327584
0.7296783261,0.3700930465,0.7408322993,0.7592285076
0.6757035124,0.09987568087,0.6766973552,0.6790855023
0.9054181986,0.3289778876,0.9169178992,0.954854864
0.9258031541,0.1903573137,1.010582109,1.381133394
0.7827704592,0.1238124864,0.8006311751,0.833282353
0.9157538171,0.2777653786,0.9440112249,1.113066171
0.9167480826,0.1454150602,0.9315610932,0.9817701234
0.9135377542,0.1259168439,0.9259992488,0.9683331247
0.9168945644,0.1508483561,0.9694159538,1.299435045
0.9086255547,0.3166103048,0.9379263601,1.111155061
0.9086044487,0.2461194975,0.9497528793,1.109031863
0.9126434754,0.441582754,0.9422195797,1.115349873
0.9464081363,0.1506433583,0.9860888998,1.187440666
0.9465662147,0.1505045258,0.9897476963,1.2016485
0.9236284712,0.1754359603,0.991078349,1.386491147
0.7137373881,0.1300251875,0.7158845732,0.7212046708
0.8939365871,0.4395813139,1.012642181,1.454860855
0.9349242967,0.1544520727,0.9749410032,1.166998541
0.9257605748,0.3944181141,0.9435116142,0.9987964207
0.9247699921,0.1415358845,0.9396414609,0.9908806905
0.9255560673,0.1487901479,0.9956597964,1.367582913
0.9499544614,0.1842864233,0.9758276737,1.134781532
0.9344585134,0.2218071355,0.9609065014,1.122105872
0.9400449001,0.4472878244,0.9675745061,1.092121266
0.9489837339,0.1798142501,0.9741869368,1.130695036
0.8929308803,0.1476193767,0.9736874546,1.379704603
0.8922090566,0.2228865531,0.925605071,1.115668039
0.8920199069,0.1979357859,0.9256662426,1.11655561
0.9552356421,0.2563647577,0.9804607163,1.135416874
0.9504598601,0.434098139,0.974613211,1.105607297
0.956599245,0.4553038654,0.9953782697,1.098732741
0.7955413385,0.4026625347,0.8521760686,1.136261196
0.9532108258,0.1541262749,1.074453617,1.545147888
0.960701751,0.1544831337,0.9945587536,1.177467425
0.9545516032,0.1628821002,1.052111676,1.419996898
0.6715379517,0.06746626273,0.6746210046,0.6804897973
0.9310182867,0.1913775626,0.9515557069,1.065108359
0.9582310815,0.1930954886,0.9761372852,1.077726948
0.9734593174,0.2227278496,0.9975245848,1.116903725
0.9544801231,0.4415386883,0.9808390626,1.138469504
0.9559739488,0.1587742287,0.9991002824,1.217055816
0.9552121978,0.1546103026,0.9893105512,1.171867196
0.9559362496,0.1867538754,0.9827760377,1.111502068
0.9544134932,0.1543888163,0.9887314534,1.171958656
0.9524565113,0.4866135795,0.9775681302,1.13278252
0.9534422905,0.1629248949,0.9989850248,1.221706477
0.9533171734,0.3768966442,1.060931625,1.546297851
0.9107417158,0.1264601427,0.9211794494,0.9568421786
0.8245639997,0.1223388934,0.8294204567,0.8429029304
0.9140836227,0.1853069912,0.9384462246,1.065088655
0.720862981,0.07669334513,0.7224415776,0.7267181587
0.9330507164,0.3307730274,0.964202041,1.134401332
0.9262029072,0.2128204864,0.941718802,0.9924864562
0.8856313881,0.3014124879,0.8958723105,0.9295406373
0.7865180251,0.1103768804,0.7904529637,0.8017898623
0.9229442371,0.1271224652,0.9352170275,0.9771274243
0.7797644779,0.0877399292,0.7825201909,0.7901885194
0.9696607793,0.20212713,0.9895937747,1.095954473
0.9665875822,0.4414159905,1.048871577,1.328815491
0.9662141033,0.2920266165,0.9921432191,1.148764306
0.9665585661,0.1574811744,1.060785429,1.369089563
0.9670514748,0.4395117894,1.039285038,1.23624161
0.9616443548,0.1856691531,0.9835114198,1.096724578
0.9273729998,0.1611812218,0.9873493,1.371010151
0.9692701916,0.1823784246,1.026817773,1.291869152
0.7977977181,0.09655743042,0.8010905137,0.8103901218
0.9783149217,0.2280204145,1.015375916,1.219814072
0.8014846623,0.3727050024,0.81389061,0.8422933391
