CS_null_raster,CS_forest_motorways_k10,CS_barriers_k100
0.8621495735,0.1093645013,0.8884315713
0.8710221365,0.1494612205,1.371092914
0.8264281048,0.1005311292,0.8473467267
0.8269724937,0.1332281365,0.8445430004
0.7157262136,0.2107194547,0.72371445
0.7315128615,0.131657888,0.7437901372
0.839951804,0.1665764331,1.107579603
0.8667551167,0.1903104338,0.9159397655
0.8773469846,0.1629625473,1.437120737
0.4686884519,0.04362813791,0.4688715568
0.3646429731,0.03324916061,0.3646859317
0.4399324296,0.04035116642,0.4400833179
0.4933083907,0.04543740355,0.4935862523
0.8740970082,0.4464212668,1.102213131
0.8810288284,0.4342239017,0.962461555
0.8585465708,0.1711861758,1.097513005
0.8739732218,0.3335300682,0.9212835254
0.8591284389,0.1703949443,1.098522164
0.8362042233,0.149421058,1.202751419
0.8027883097,0.1766617089,1.275970343
0.8062279706,0.09367256196,0.821040763
0.7163449803,0.1665495222,0.7234604236
0.909890773,0.1465136942,1.315975976
0.8003974506,0.1436739088,0.8153817411
0.8996745458,0.1882855403,1.122620914
0.7934675229,0.0906580291,0.8058955026
0.9016181892,0.1762094762,1.105798357
0.8983855313,0.1315784235,0.938542368
0.7217040404,0.128629783,0.7303650752
0.9046030574,0.1805499997,1.43818285
0.9040350083,0.1536921431,1.337951661
0.8014805236,0.4154336802,1.137921034
0.9077790968,0.4656537258,1.652973673
0.906989631,0.2303637788,1.103532831
0.6906400381,0.09457151918,0.6945276279
0.9063746743,0.2489951861,0.9805098578
0.9154211236,0.4633651449,1.100208151
0.9071084697,0.1888525472,1.113774132
0.9050516458,0.1756254215,1.306546552
0.9095396373,0.3008615363,1.119131805
0.8996144072,0.1450467588,1.31131264
0.9065331864,0.2476294605,1.090658542
0.9148744678,0.1576825767,1.600802669
0.7274683734,0.07990996882,0.7482185505
0.6794720996,0.08518036588,0.6827061952
0.9059378211,0.1536478265,1.306376502
0.9268193341,0.4791560409,1.100275506
0.7808269004,0.3706539294,0.8084398209
0.9169874976,0.1516837426,1.310824591
0.9168368245,0.276168938,1.320885584
0.912805321,0.2743345638,1.218891481
0.9156203752,0.3805439227,1.112804128
0.9083154203,0.4199288873,1.106690608
0.908177131,0.4099170499,1.135332924
0.913220085,0.3047699064,1.185013463
0.9474165157,0.1867521018,1.043141784
0.9473708396,0.1342508821,1.029332727
0.9232288884,0.1234814648,0.9777679944
0.7127155894,0.07480491797,0.7176496322
0.8931918379,0.4401653186,0.9690121176
0.9351531393,0.1520880223,1.179667237
0.9255705662,0.2131618265,0.9936236381
0.9247813701,0.143253765,0.9941302109
0.9258599321,0.1512054808,1.307481761
0.9492462318,0.1508715785,1.188258789
0.9360061734,0.1666587962,1.020323207
0.9380769422,0.1816274862,1.132776239
0.9489729646,0.1902068667,1.138433747
0.8923301598,0.1473977721,1.370765272
0.8923762013,0.120883617,0.9296561811
0.8910804028,0.3883380937,1.107547413
0.9551607871,0.1885998296,1.14255591
0.9491370651,0.4414519002,1.236304015
0.9572324662,0.2572265585,1.328837254
0.7974628248,0.2304368304,10.26125526
0.9546262187,0.4954023469,1.136823519
0.9611583251,0.1536615284,1.182211684
0.954844243,0.1913259589,1.086271191
0.6729235029,0.0799079554,0.6800577473
0.9302074301,0.4251438955,1.126310799
0.9584151339,0.1473908047,1.059159536
0.9721560076,0.4890430508,1.154454125
0.9555441128,0.1520849592,1.194376294
0.9559797362,0.1615068161,1.261940931
0.9576066471,0.2299666705,1.080281478
0.9564201922,0.1359005298,1.068012763
0.9571815418,0.4904554786,1.116552307
0.9527980056,0.2416239283,1.148676209
0.9537156899,0.1950165616,1.086054488
0.9525683198,0.18205945,1.133895707
0.9091089142,0.210032712,1.108344778
0.8242500273,0.1022641364,0.8459874282
0.9140403299,0.1859425364,1.067498082
0.7161146246,0.2729090436,0.723764772
0.9338819636,0.1266043094,0.9981973712
0.927028498,0.1517111801,1.330812096
0.8848058987,0.120481743,0.9191421364
0.7874520239,0.3128861061,0.7991974428
0.9229430276,0.2601925761,1.116928327
0.7789353959,0.1136721469,0.7935387434
0.9659472245,0.1589097195,1.173651031
0.9688533995,0.2266519355,1.089834237
0.9649443926,0.3832152697,1.152225578
0.9665605192,0.1862326471,1.52639941
0.9660034009,0.1652237039,1.172354308
0.960592771,0.4073623536,1.140797556
0.9271847287,0.1516856211,1.301323563
0.9695924473,0.1437211471,1.105326867
0.7972671325,0.09550757258,0.8124827036
0.9787103893,0.4431443455,1.279265423
0.8021584243,0.3777792797,1.50254887
0.979892623,0.4339067024,1.131066561
0.9789453165,0.2077413387,1.092152529
0.9777489673,0.2177730375,1.151494075
0.8194820656,0.1045966812,0.8416324115
0.9634891214,0.1577675422,1.220433287
0.7477971211,0.1205312606,0.7586883064
0.814943744,0.1635990724,1.26411151
0.9535621181,0.1528269074,1.177262219
0.8112970432,0.102732549,0.8312643716
0.9437529471,0.1305002696,1.020901292
0.9553109095,0.296923103,1.135406119
0.9775489616,0.1557828231,1.30277061
0.9764958101,0.2477948608,1.097099152
0.9720134872,0.2995210385,1.091900846
0.9791910206,0.1774974621,1.16230905
0.9488841617,0.1795214707,1.130818521
0.9671072792,0.2492995741,1.121788673
0.9314435411,0.225411141,1.124952247
0.9292309844,0.3932944436,1.374446886
0.9398043992,0.1692694677,1.028866666
0.7091033886,0.07462377595,0.7278225643
0.9401262816,0.1779329644,1.140104649
0.9409870446,0.4211348778,1.891887181
0.9535003792,0.1763893306,1.14643833
0.7630362375,0.08999547873,0.8393003892
0.9595143066,0.1568437134,1.770319188
0.9358910266,0.1894455739,1.064005925
0.69150981,0.07128111885,0.6955280684
0.9557844809,0.16214108,1.24476049
0.892045001,0.4470946536,1.167480197
0.9635129609,0.1600227737,1.238432463
0.9115099123,0.4093182621,1.108885237
0.8670983751,0.1098685507,0.8955754837
0.9715012439,0.2668792011,1.150665883
0.9252157224,0.1667495002,1.37686253
0.9165610877,0.146646928,1.329952155
0.9390409564,0.1285645404,1.009983351
0.9386785521,0.2912015323,1.127906256
0.9420471241,0.1498003742,1.209327596
0.978799491,0.2019161723,1.092161857
0.9206015469,0.2261424584,1.115260204
0.9200365402,0.3958505092,1.003166252
0.9199436914,0.1572593519,1.341355568
0.939978511,0.1599427173,1.428562844
0.953564668,0.1395583858,1.04489526
0.9512195743,0.1922513089,1.091788029
0.8195248969,0.1431643103,0.8383974396
0.9449600111,0.3785823666,1.1275771
0.8641040678,0.2079974622,1.107690316
0.9519926858,0.164668146,1.345670755
0.9544711666,0.467554537,1.103946836
0.9280622501,0.1744350224,1.117684102
0.9202226902,0.1715267493,1.370340928
0.9554733641,0.3704214977,1.092305411
0.9543554621,0.1531481709,1.176390787
0.9560966878,0.1359879153,1.068944901
0.6678121643,0.06734115945,0.6760878294
0.9718604457,0.2187473609,1.150267548
0.9025150625,0.1293440959,0.954833695
0.8641489864,0.4364965227,1.092049407
0.9512329845,0.1510946567,1.189130406
0.7567328571,0.08287978182,0.7647495261
0.87572058,0.1452364202,1.381344439
0.877310173,0.1263839778,0.9104254174
0.9657730084,0.1591620782,1.228943118
0.8571167901,0.3525911181,0.8868981432
0.983298335,0.2278226157,1.095763416
0.9658290044,0.1569202707,1.530325723
0.9759192592,0.5006969873,1.15631285
